,question,answer,answer_start,is_impossible,context
48,At least how many health workers have been infected with coronavirus?,"2,629",1148,FALSE,"Abstract Background : The fact that COVID-19 is transmissible from human to human and associated with high morbidity and potentially fatality can intensify the perception of personal danger. In addition, the foreseeable shortage of supplies and an increasing flow of suspected and real cases of COVID-19 contribute to the pressures and concerns of health professionals. Method : The studies were identified in well-known international journals found in two electronic databases: Scopus and Embase. The data were cross-checked with information from the main international newspapers. Results : Work-related stress is a potential cause of concern for health professionals. It has been associated with anxiety including multiple clinical activities, depression in the face of the coexistence of countless deaths, long work shifts with the most diverse unknowns and demands in the treatment with patients with COVID-19. Therefore, it is an important indicator of psychic exhaustion. Conclusions : As coronavirus cases increase and deaths surge in Italy, new figures show an ""enormous"" level of contagion among the country's medical personnel. At least 2,629 health workers have been infected with coronavirus since the outbreak onset in February, representing 8.3% of total cases. The percentage of infected health workers has almost doubled the number registered in China throughout the epidemic. Intensive care unit physicians are on their stress limit, especially when dealing with older patients and with death prospects. Doctors, not a relative, are inevitably the last people a dying COVID-19 patient will see."
49,Where does the cluster of COVID-19 cases come from?,a single large homeless shelter in Boston,171,FALSE,"The circumstances of homelessness create the potential for rapid transmission of SARS-CoV-2 in this vulnerable population. Upon observing a cluster of COVID-19 cases from a single large homeless shelter in Boston, Boston Health Care for the Homeless Program conducted symptom assessments and polymerase chain reaction (PCR) testing for SARS-CoV-2 among all guests residing at the shelter over a 2-day period. Of 408 participants, 147 (36.0%) were PCR-positive for SARS-CoV-2. COVID-positive individuals were more likely to be male (p<0.001) but did not differ significantly from COVID-negative individuals with respect to other demographic and clinical characteristics. Cough (7.5%), shortness of breath (1.4%), and fever (0.7%) were all uncommon among COVID-positive individuals. Our findings illustrate the rapidity with which COVID-19 can be widely transmitted in a homeless shelter setting and suggest that universal PCR testing, rather than a symptom triggered approach, may be a better strategy for identifying and mitigating COVID-19 among people experiencing homelessness."
50,How many people in New York participate?,,,TRUE,"The circumstances of homelessness create the potential for rapid transmission of SARS-CoV-2 in this vulnerable population. Upon observing a cluster of COVID-19 cases from a single large homeless shelter in Boston, Boston Health Care for the Homeless Program conducted symptom assessments and polymerase chain reaction (PCR) testing for SARS-CoV-2 among all guests residing at the shelter over a 2-day period. Of 408 participants, 147 (36.0%) were PCR-positive for SARS-CoV-2. COVID-positive individuals were more likely to be male (p<0.001) but did not differ significantly from COVID-negative individuals with respect to other demographic and clinical characteristics. Cough (7.5%), shortness of breath (1.4%), and fever (0.7%) were all uncommon among COVID-positive individuals. Our findings illustrate the rapidity with which COVID-19 can be widely transmitted in a homeless shelter setting and suggest that universal PCR testing, rather than a symptom triggered approach, may be a better strategy for identifying and mitigating COVID-19 among people experiencing homelessness."
51,How does coronavirus transmit person-to-person?,through inhalation of respiratory droplets,85,FALSE,"Purpose: The 2019 novel coronavirus(COVID-19) mainly transmitted by person-to-person through inhalation of respiratory droplets. We report the laboratory results of conjunctival PCR-tests and some clinical features of these patients in shenyang China. Design: This is a cross-sectional non-randomized study. Subjects: The study include 14 confirmly diagnosed cases, 16 suspected cases and some medical observed patients. Methods: All patients with diagnosed and suspected COVID-19 were admitted to a designated hospital in Shenyang,China. We collected conjunctival samples of these patients to do the laboratory tests by real time RT-PCR.Medical observed patients were enrolled if they had clinical symptoms. Then we analysed the PCR results and clinical data from eletronic medical records in order to find some relationships. Main Outcome Measures: Clinical condition and PCR results of conjunctival swabs compared with other specimens. Results: One of the identified case coverted from suspected case without typical clinical symptoms. Twenty-two medical observed cases were removed because none of them converted to identified cases.One of the suspected converted to identified case recently.The included cases in our study are imported cases with less underlying diseases and the severity of their infection was relatively moderate. All the conjunctival results of PCR-test were negative. Two cases had typical clinical symptoms but were finally confirmed by repeated pharynx swab tests. Conclusion: Conjunctiva may be a transmission way of COVID-19. And ocular conjunctival swabs in combination with PCR test could be a non-invasive,convenient and feasible diagnostic method for identifying the infection of COVID-19. Emphasis on the false-negative results is vital."
52,How does coronavirus transmit person-to-person?,96.1%,677,FALSE,"Abstract2019 Novel Coronavirus (2019-nCoV) is a virus identified as the cause of the outbreak of pneumonia first detected in Wuhan, China. Investigations on the transmissibility, severity, and other features associated with this virus are ongoing. Currently, there is no vaccine or therapeutic antibody to prevent the infection, and more time is required to develop an effective immune strategy against the pathogen. In contrast, specific inhibitors targeting the key protease involved in replication and proliferation of the virus are the most effective means to alleviate the epidemic. The main protease of SARS-CoV is essential for the life cycle of the virus, which showed 96.1% of similarity with the main proteaseof 2019-nCoV, is considered to be an attractive target for drug development. In this study, we have identified 4 small molecular drugs with high binding capacity with SARS-CoV main protease by high-throughput screening based on the 8,000 clinical drug libraries, all these drugs have been widely used in clinical applications with guaranteed safety, which may serve as promising candidates to treat the infection of 2019-nCoV."
53,What has been used for forecasting the growth of new cases?,The exponential curve,337,FALSE,"Abstract We forecast 1,000,000 COVID-19 cases outside of China by March 30, 2020 based on a heuristic and WHO situation reports. We do not model the COVID-19 pandemic; we model only the number of cases. The proposed heuristic is based on a simple observation that the plot of the given data is well approximated by an exponential curve. The exponential curve is used for forecasting the growth of new cases. It has been tested for the last situation report of the last day. Its accuracy has been 1.29% for the last day added and predicted by the 57 previous WHO situation reports (the date 18 March 2020). Prediction, forecast, pandemic, COVID-19, coronavirus, exponential growth curve parameter, heuristic, epidemiology, extrapolation, abductive reasoning, WHO situa- tion report."
54,Q: How many people in America has been infected?,,,TRUE,"The COVID-19 pandemic is a particularly grave risk to the millions of Americans with opioid use disorder, who—already vulnerable and marginalized—are heavily dependent on face-to-face health care delivery. These authors propose rapid and coordinated action on the part of clinicians and policymakers to mitigate risks of disrupted care for these patients."
55,What does Chinese citizens do to protect themselves from COVID-19?,"staying at home as far as possible, limiting social contacts, and wearing protective masks when they needed to move in public",807,FALSE,"Government policies enacted during the Chinese Lunar New Year holiday are likely to have helped reduce the spread of the virus by decreasing contact and increasing physical distance between those who have COVID-19 and those who do not. As part of these social distancing policies, the Chinese Government encouraged people to stay at home; discouraged mass gatherings; cancelled or postponed large public events; and closed schools, universities, government offices, libraries, museums, and factories. Only limited segments of urban public transport systems remained operational and all cross-province bus routes were taken out of service. As a result of these policies and public information and education campaigns, Chinese citizens started to take measures to protect themselves against COVID-19, such as staying at home as far as possible, limiting social contacts, and wearing protective masks when they needed to move in public."
56,How many global contributors are there?,121,529,FALSE,"Abstract As the global COVID-19 pandemic escalates there is a need within radiation oncology to work to support our patients in the best way possible. Measures are required to reduce infection spread between patients and within the workforce. Departments need contingency planning to create capacity and continue essential treatments despite a reduced workforce. The #radonc community held an urgent online journal club on Twitter in March 2020 to discuss these issues and create some consensus on crucial next steps. There were 121 global contributors. This document summarises these discussions around themes of infection prevention, rationalisation of workload and working practice in the presence of infection."
57,What plays an essential role in the treatment of COVID-19?,Non-invasive respiratory support,0,FALSE,Non-invasive respiratory support plays an essential role in the treatment of COVID-19. More awareness is needed of viral transmission through exhaled air. http://bit.ly/39kNrrF
58,What is the age range for the sample of Vietnamese respondents?,15 to 47 years,294,FALSE,"The legal behaviors in using medical masks in public have been finally promulgated by the Vietnamese Government after 47 days since the WHO declared the Public Health Emergency of International Concern (PHEIC) due to the COVID-19 pandemic. From a sample of 345 Vietnamese respondents aged from 15 to 47 years, this brief note found that the risk perception of COVID-19 danger significantly increases the likelihood of wearing the medical masks. In addition, there is a weak evidence about the differences in age under the COVID-19 outbreaks. More noticeably, those who use masks before COVID-19 pandemic tend to maintain their behaviors. Our results offer the insightful into Vietnamese citizens responses in terms of using medical masks; even the uses of this method are still controversial. Our results are robust by performing Exploratory Factor Analysis for five features and further regressions."
59,What is the scaling law for regions outside of China?,,,TRUE,"The recent outbreak of COVID-19 in Mainland China is characterized by a distinctive algebraic, sub-exponential increase of confirmed cases with time during the early phase of the epidemic, contrasting an initial exponential growth expected for an unconstrained outbreak with sufficiently large reproduction rate. Although case counts vary significantly between affected provinces in Mainland China, the scaling law t^μ is surprisingly universal, with a range of exponents μ = 2.1 ± 0.3. The universality of this behavior indicates that, in spite of social, regional, demographical, geographical, and socio-economical heterogeneities of affected Chinese provinces, this outbreak is dominated by fundamental mechanisms that are not captured by standard epidemiological models. We show that the observed scaling law is a direct consequence of containment policies that effectively deplete the susceptible population. To this end we introduce a parsimonious model that captures both, quarantine of symptomatic infected individuals as well as population wide isolation in response to mitigation policies or behavioral changes. For a wide range of parameters, the model reproduces the observed scaling law in confirmed cases and explains the observed exponents. Quantitative fits to empirical data permit the identification of peak times in the number of asymptomatic or oligo-symptomatic, unidentified infected individuals, as well as estimates of local variations in the basic reproduction number. The model implies that the observed scaling law in confirmed cases is a direct signature of effective contaiment strategies and/or systematic behavioral changes that affect a substantial fraction of the susceptible population. These insights may aid the implementation of containment strategies in potential export induced COVID-19 secondary outbreaks elsewhere or similar future outbreaks of other emergent infectious diseases."
60,How many 20 to 59 years old people are infected with COVID 19 in China?,"29,798",1167,FALSE,"Introduction The COVID 19 outbreak is posing an unprecedented challenge to healthcare workers. This study analyzes the geo temporal effects on disease severity for the 1,688 Chinese healthcare workers infected with COVID 19. Method Using the descriptive results recently reported by the Chinese CDC, we compare the percentage of infected healthcare workers in severe conditions over time and across three areas in China, and the fatality rate of infected healthcare workers with all the infected individuals in China aged 22 to 59 years. Results Among the infected Chinese healthcare workers whose symptoms onset appeared during the same ten day period, the percentage of those in severe conditions decreased statistical significantly from 19.7% (Jan 11 to 20) to 14.4% (Jan 21 to 31) to 8.7% (Feb 1 to 11). Across the country, there was also a significant difference in the disease severity among patients symptoms onset during the same period, with Wuhan being the most severe (17%), followed by Hubei Province (10.4%), and the rest of China (7.0%). The case fatality rate for the 1,688 infected Chinese healthcare workers was significantly lower than that for the 29,798 infected patients aged 20 to 59 years 0.3% (5/1,688) vs. 0.65% (193/29,798), respectively. Conclusion The disease severity improved considerably over a short period of time in China. The more severe conditions in Wuhan compared to the rest of the country may be attributable to the draconian lockdown. The clinical outcomes of infected Chinese healthcare workers may represent a more accurate estimation of the severity of COVID 19 for those who have access to quality healthcare."
61,What is the date of this report?,29 February 2020,156,FALSE,"This is the fifth epidemiological report for coronavirus disease 2019 (COVID-19), reported in Australia as at 19:00 Australian Eastern Daylight Time [AEDT] 29 February 2020. It includes data on COVID-19 cases diagnosed in Australia, the international situation and a review of current evidence."
62,How many days of follow-up does each patient have?,at least 14 days,479,FALSE,"BACKGROUND: Community transmission of coronavirus 2019 (Covid-19) was detected in the state of Washington in February 2020. METHODS: We identified patients from nine Seattle-area hospitals who were admitted to the intensive care unit (ICU) with confirmed infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). Clinical data were obtained through review of medical records. The data reported here are those available through March 23, 2020. Each patient had at least 14 days of follow-up. RESULTS: We identified 24 patients with confirmed Covid-19. The mean (±SD) age of the patients was 64±18 years, 63% were men, and symptoms began 7±4 days before admission. The most common symptoms were cough and shortness of breath; 50% of patients had fever on admission, and 58% had diabetes mellitus. All the patients were admitted for hypoxemic respiratory failure; 75% (18 patients) needed mechanical ventilation. Most of the patients (17) also had hypotension and needed vasopressors. No patient tested positive for influenza A, influenza B, or other respiratory viruses. Half the patients (12) died between ICU day 1 and day 18, including 4 patients who had a do-not-resuscitate order on admission. Of the 12 surviving patients, 5 were discharged home, 4 were discharged from the ICU but remained in the hospital, and 3 continued to receive mechanical ventilation in the ICU. CONCLUSIONS: During the first 3 weeks of the Covid-19 outbreak in the Seattle area, the most common reasons for admission to the ICU were hypoxemic respiratory failure leading to mechanical ventilation, hypotension requiring vasopressor treatment, or both. Mortality among these critically ill patients was high. (Funded by the National Institutes of Health.)"
63,What is associated with lower COVID-19 incidence?,higher average temperature,285,FALSE,"Seasonal variation in COVID-19 incidence could impact the trajectory of the pandemic. Using global line-list data on COVID-19 cases reported until 29th February 2020 and global gridded temperature data, and after adjusting for surveillance capacity and time since first imported case, higher average temperature was strongly associated with lower COVID-19 incidence for temperatures of 1°C and higher. However, temperature explained a relatively modest amount of the total variation in COVID-19 incidence. These preliminary findings support stringent containment efforts in Europe and elsewhere."
64,Where should N95 masks be used?,in hospitals where health-care workers are in direct contact with infected patients,988,FALSE,"First, although COVID-19 is spread by the airborne route, air disinfection of cities and communities is not known to be effective for disease control and needs to be stopped. The widespread practice of spraying disinfectant and alcohol in the sky, on roads, vehicles, and personnel has no value; moreover, large quantities of alcohol and disinfectant are potentially harmful to humans and should be avoided.3 , 4 Second, in the use of personal protective equipment, we should try to distinguish different risk factors, adopt different epidemic prevention measures, and reduce the waste of personal protective equipment, as these resources are already in short supply. Although surgical masks are in widespread use by the general population, there is no evidence that these masks prevent the acquisition of COVID-19, although they might slightly reduce the spread from an infected patient. High-filtration masks such as N95 masks and protective clothing (goggles and gowns) should be used in hospitals where health-care workers are in direct contact with infected patients.5 Third, the practice of blocking traffic and lockdown of villages is of no value for the prevention and control of COVID-19. Since the outbreak of COVID-19, some countries have suspended flights to and from China, and prevented Chinese people from travelling to their countries; both of these actions violate WHO International Health Regulations.6 Similarly, in community prevention and control of the disease, the measures taken by individual villages and communities to seal off roads are of no value.7 Such measures could result in civil unrest and reduce compliance with infection prevention and control advice. Fourth, public health education must be based on scientific evidence to reduce the anxiety and distress caused by misinformation. In particular, epidemiological findings need to be reported in a timely and objective manner so that they can be accurately assessed and interpreted. The risk of transmission with brief contact (less than 15 min face-to-face contact) or infection onset after 14 days of exposure to a known infected person (the estimated maximum incubation period) is low and should not be over-exaggerated. Misinformation spreads panic among the general population and is not conducive to implementation of epidemic control measures.8 Fifth, WHO has made it clear that there are currently no known effective treatments for COVID-19 and does not recommend the use of antiviral drugs, antibiotics, glucocorticoids, or traditional Chinese medicine. Despite this, there have been reports of the use of oseltamivir, lopinavir/ritonavir, prednisone, antibiotics, and traditional Chinese medicine for the treatment of patients with COVID-19.9 Care should be taken to not give patients drugs of unknown efficacy, which might be detrimental to critically ill patients with COVID-19; clinical trials are urgently required in this context.10 Likewise, the development of a vaccine is an urgent public health priority."
65,What is the extent we know about the physiological changes associated with COVID-19?,barely understood,292,FALSE,"The pandemic of the coronavirus disease 2019 (COVID-19) has become a global public health crisis. COVID-19 is marked by its rapid progression from mild to severe conditions, particularly in the absence of adequate medical care. However, the physiological changes associated with COVID-19 are barely understood. In this study, we performed untargeted metabolomic and lipidomic analyses of plasma from a cohort of COVID-19 patients who had experienced different symptoms. We found the metabolite and lipid alterations exhibit apparent correlation with the course of disease in these COVID-19 patients, indicating that the development of COVID-19 affected patient metabolism. Moreover, many of the metabolite and lipid alterations, particularly ones associated with hepatic functions, have been found to align with the progress and severity of COVID-19. This work provides valuable knowledge about blood biomarkers associated with COVID-19 and potential therapeutic targets, and presents important resource for further studies of COVID-19 pathogenesis."
66,How many confirmed infection cases are there until now?,"258,842",622,FALSE,"Abstract Aims A new human coronavirus (HCoV), which has been designated SARS-CoV-2, began spreading in December 2019 in Wuhan City, China causing pneumonia called COVID-19. The spread of SARS-CoV-2 has been faster than any other coronaviruses that have succeeded in crossing the animal-human barrier. There is concern that this new virus will spread around the world as did the previous two HCoVs—Severe Acute Respiratory Syndrome (SARS) and Middle East Respiratory Syndrome (MERS)—each of which caused approximately 800 deaths in the years 2002 and 2012, respectively. Thus far, 11,268 deaths have been reported from the 258,842 confirmed infections in 168 countries. Main methods In this study, the RNA-dependent RNA polymerase (RdRp) of the newly emerged coronavirus is modeled, validated, and then targeted using different anti-polymerase drugs currently on the market that have been approved for use against various viruses. Key findings The results suggest the effectiveness of Ribavirin, Remdesivir, Sofosbuvir, Galidesivir, and Tenofovir as potent drugs against SARS-CoV-2 since they tightly bind to its RdRp. In addition, the results suggest guanosine derivative (IDX-184), Setrobuvir, and YAK as top seeds for antiviral treatments with high potential to fight the SARS-CoV-2 strain specifically. Significance The availability of FDA-approved anti-RdRp drugs can help treat patients and reduce the danger of the mysterious new viral infection COVID-19. The drugs mentioned above can tightly bind to the RdRp of the SARS-CoV-2 strain and thus may be used to treat the disease. No toxicity measurements are required for these drugs since they were previously tested prior to their approval by the FDA."
67,When did COVID-19 start to spread?,December 2019,103,FALSE,"Abstract Aims A new human coronavirus (HCoV), which has been designated SARS-CoV-2, began spreading in December 2019 in Wuhan City, China causing pneumonia called COVID-19. The spread of SARS-CoV-2 has been faster than any other coronaviruses that have succeeded in crossing the animal-human barrier. There is concern that this new virus will spread around the world as did the previous two HCoVs—Severe Acute Respiratory Syndrome (SARS) and Middle East Respiratory Syndrome (MERS)—each of which caused approximately 800 deaths in the years 2002 and 2012, respectively. Thus far, 11,268 deaths have been reported from the 258,842 confirmed infections in 168 countries. Main methods In this study, the RNA-dependent RNA polymerase (RdRp) of the newly emerged coronavirus is modeled, validated, and then targeted using different anti-polymerase drugs currently on the market that have been approved for use against various viruses. Key findings The results suggest the effectiveness of Ribavirin, Remdesivir, Sofosbuvir, Galidesivir, and Tenofovir as potent drugs against SARS-CoV-2 since they tightly bind to its RdRp. In addition, the results suggest guanosine derivative (IDX-184), Setrobuvir, and YAK as top seeds for antiviral treatments with high potential to fight the SARS-CoV-2 strain specifically. Significance The availability of FDA-approved anti-RdRp drugs can help treat patients and reduce the danger of the mysterious new viral infection COVID-19. The drugs mentioned above can tightly bind to the RdRp of the SARS-CoV-2 strain and thus may be used to treat the disease. No toxicity measurements are required for these drugs since they were previously tested prior to their approval by the FDA."
68,Which contries have the highest CFR for the elderly?,Italy and Spain,1258,FALSE,"Background: Statistical analysis of data obtained from hospitals and clinics across the world has been analyzed to illuminate new insights into characteristics of COVID-19 and to discern whether a link exists between severe cases of COVID-19 that feature cytokine storm and vitamin D (Vit D) deficiency. Method: Daily admission, recovery and deceased rate data for patients with COVID-19 from countries with over 5,000 confirmed cases through March 21, 2020, were selected. A potential association between severe Vit D deficiency and age-specific case fatality (CFR) was investigated. Reported medical characteristics of 793 COVID-19 patients were used to evaluate the intensity of cytokine storm in severe COVID-19 using C-reactive protein (CRP) levels. Medical data reported from a national study of 3,848 participants in 2007-2008 was used to investigate the association between Vit D status and CRP. Odds ratio and risk factors from these conditions were used to predict the potential impact of Vit D on the reduction of cytokine storm and severe COVID-19. Findings: Age-specific CFR in Italy, Spain, and France (70 yo ≤ age < 80 yo) was substantially higher (>1.9 times) than other countries (Germany, South Korea, China); for the elderly (age ≥70 yo), Italy and Spain present the highest CFR (>1.7 times that of other countries). The age-specific ratio of confirmed cases in Italy, Spain, and France has also been substantially higher than in other countries. A more severe deficiency of Vit D (mean 25-hydroxyvitamin D (25OHD) concentration <0.25 ng/L) is reported in Italy and Spain compared to other countries. Our analysis of the reported clinical data (25OHD, CRP) from multiple studies suggests that elimination of severe Vit D deficiency reduces the risk of high CRP levels (odds ratio of 2) which may be used as a surrogate marker of cytokine storm which was estimated to a potential reduction in severe COVID-19 cases of up to 15%. Interpretation: The substantially higher age-specific CFR and the age-specific ratio of confirmed cases in Italy and Spain (countries with low mean 25OHD level) suggest a potential link between severe Vit D deficiency and severe COVID-19, which can lead to a higher CFR. No direct link between the performance of health care systems, the age distribution of the nation, or Vitamin A deficiency and the CFR of COVID-19 were observed. Our analysis of the published data on the status of Vit D and CRP levels (in the US) and laboratory data (CRP levels) reported from 792 patients in China suggests that a proper supplementation of Vit D across populations may reduce the number of severe COVID-19 cases by up to 15 percentage points by lowering the risk factors related to cytokine storm. Our analysis did not eliminate the possibility of the circulation of different sub-genera of COVID-19 across the globe or other factors."
69,Which area had been the forefront of the pandemic in the US?,The Seattle area,336,FALSE,"Abstract Introduction The COVID-19 pandemic is stressing healthcare systems throughout the world. Significant numbers of patients are being admitted to the hospital with severe illness, often in the setting of advanced age and underlying co-morbidities. Therefore, palliative care is an important part of the response to this pandemic. The Seattle area and UW Medicine have been on the forefront of the pandemic in the US. Methods UW Medicine developed a strategy to implement a palliative care response for a multi-hospital healthcare system that incorporates conventional capacity, contingency capacity, and crisis capacity. The strategy was developed by our palliative care programs with input from the healthcare system leadership. Results In this publication, we share our multi-faceted strategy to implement high-quality palliative care in the context of the COVID-19 pandemic that incorporates conventional, contingency, and crisis capacity and focuses on the areas of the hospital caring for the most patients: the emergency department, the intensive care units, and the acute care services. The strategy focuses on key content areas including identifying and addressing goals of care, addressing moderate and severe symptoms, and supporting family members. Conclusions Strategy planning for delivery of high-quality palliative care in the context of the COVID-19 pandemic represents an important area of need for our healthcare systems. We share our experiences developing such a strategy to help other institutions conduct and adapt such strategies more quickly."
70,What’s the basic reproduction number for COVID-19?,2 – 2.5,234,FALSE,"Abstract The current coronavirus disease 2019 (COVID-19) pneumonia pandemic, caused by the severe acute respiratory syndrome 2 (SARS-CoV-2) virus, is spreading globally at an accelerated rate, with a basic reproduction number (R0) of 2 – 2.5, indicating that 2 – 3 persons will be infected from an index patient. A serious public health emergency, it is particularly deadly in vulnerable populations and communities in which healthcare providers are insufficiently prepared to manage the infection. As of March 16, 2020, there are more than 180,000 confirmed cases of COVID-19 worldwide, with over 7,000 related deaths. The SARS-CoV-2 virus has been isolated from asymptomatic individuals, and affected patients continue to be infectious two weeks after cessation of symptoms. The substantial morbidity and socioeconomic impact have necessitated drastic measures across all continents, including nationwide lockdowns and border closures. Pregnant women and their fetuses represent a high-risk population during infectious disease outbreaks. To date, the outcomes of 55 pregnant women infected with COVID-19 and 46 neonates have been reported in the literature, with no definite evidence of vertical transmission. Physiological and mechanical changes in pregnancy increase susceptibility to infections in general, particularly when the cardiorespiratory system is affected, and encourage rapid progression to respiratory failure in the gravida. Furthermore, the pregnancy bias towards T-helper 2 (Th2) system dominance which protects the fetus, leaves the mother vulnerable to viral infections, which are more effectively contained by the Th1 system. These unique challenges mandate an integrated approach to pregnancies affected by SARS-CoV-2. Here we present a review of COVID-19 in pregnancy, bringing together the various factors integral to the understanding of pathophysiology and susceptibility, diagnostic challenges with real-time reverse transcriptase polymerase chain reaction (RT-PCR) assays, therapeutic controversies, intrauterine transmission and maternal-fetal complications. We discuss the latest options in antiviral therapy and vaccine development, including the novel use of chloroquine in the management of COVID-19. Fetal surveillance, in view of the predisposition to growth restriction and special considerations during labor and delivery are addressed. Additionally, we focus on keeping frontline obstetric care providers safe while continuing to provide essential services. Our clinical service model is built around the principles of workplace segregation, responsible social distancing, containment of cross-infection to healthcare providers, judicious use of personal protective equipment and telemedicine. Our aim is to share a framework which can be adopted by tertiary maternity units managing pregnant women in the flux of a pandemic while maintaining the safety of the patient and healthcare provider at its core."
71,How many refugees are infected by COVID-19?,,,TRUE,"Abstract Background 68.5 million people around the world have been forced to leave their houses. Refugees have mainly to face their adaption in a host country, which involves bureaucracy, different culture, poverty, and racism. The already fragile situation of refugees becomes worrying and challenged in the face of the new coronavirus (COVID-19) epidemic. Therefore, we aimed to describe the factors that can worsen the mental health of refugees. Method The studies were identified in well-known international journals found in three electronic databases: PubMed, Scopus, and Embase. The data were cross-checked with information from the main international newspapers. Results According to the literature, the difficulties faced by refugees with the COVID-19 pandemic are potentiated by the pandemic state. There are several risk factors common to coronavirus and psychiatric illnesses as overcrowding, disruption of sewage disposal, poor standards of hygiene, poor nutrition, negligible sanitation, lack of access to shelter, health care, public services, and safety. These associated with fear and uncertainty create a closed ground for psychological sickness and COVID-19 infection. Conclusions There should be not only a social mobilization to contain the virus, but also a collective effort on behalf of the most vulnerable populations."
72,What is the percentage of male in deceased patients?,67%,531,FALSE,"In response to the recent novel coronavirus outbreak originating in Wuhan, Hubei province, China, observations concerning novel coronavirus mortality are of urgent public health importance. The present work presents the first review of the fatal novel coronavirus cases in China. Clinical data of fatal cases published by the Chinese Government were studied. As of 2 February 2020, the clinical data of 46 fatal cases were identified. The case fatality rate was significantly higher in Hubei province than the rest of China. While 67% of all deceased patients were male, gender was unlikely to be associated with mortality. Diabetes was likely to be associated with mortality. There is, however, not yet sufficient evidence to support the association between hypertension and mortality as similar prevalence of hypertension was also observed in the Hubei population."
73,Which country is most affted by COVID-19 beside China?,Iran,140,FALSE,"Background Early papers on the mental health of the public during the Covid-19 pandemic surveyed participants from China. Outside of China, Iran has emerged as one of the most affected countries with a high death count and rate. The paper presents the first empirical evidence from Iranian adults during the Covid-19 pandemic on their level of distress and its predictors. Methods On March 25-28, 2020, a dire time for Covid-19 in Iran, we surveyed 1058 adults from all 30 provinces in Iran using the Covid-19 Peritraumatic Distress Index (CPDI). Findings The distress level of Iranian adults (mean: 34.54; s.d.: 14.92) was significantly higher (mean difference: 10.9; t=22.7; p<0.0001; 95% CI: 10.0 to 11.8) than that of Chinese adults (mean: 23.65; s.d.: 5.45) as reported in a prior study with the same measure of Covid-19 Peritraumatic Distress Index (CPDI). We also found the predictors of distress in Iran vary from those in China. Interpretation Our findings that the predictors of distress in Iran vary from those in China suggest the need to study the predictors of mental health in individual countries during the Covid-19 pandemic to effectively identify and screen for those more susceptible to mental health issues. Keywords: Coronavirus; 2019-nCoV; Distress; Mental health; Psychiatric screening; Identifiers of mental issues in Covid-19 pandemic; Iran; Early evidence"
74,Where is this hospital that conducted a rapid care circuit and virological diagnosis?,"Marseille, France",292,FALSE,"Abstract Background Rapid virological diagnosis is needed to limit the length of isolation for suspected COVID-19 cases. Method We managed the first 280 patients suspected to have COVID-19 through a rapid care circuit and virological diagnosis in our infectious disease reference hospital in Marseille, France. Rapid viral detection was performed on sputum and nasopharyngeal samples. Results Over our study period, no SARS-CoV-2 was detected. Results were obtained within approximately 3 h of the arrival of patient samples at the laboratory. Other viral infections were identified in 49% of the patients, with most common pathogens being influenza A and B viruses, rhinovirus, metapneumovirus and common coronaviruses, notably HKU1 and NL63. Conclusion Early recognition of COVID-19 is critical to isolate confirmed cases and prevent further transmission. Early rule-out of COVID-19 allows public health containment measures to be adjusted by reducing the time spent in isolation."
75,Which type of patients are more likely be infected by COVID-19?,,,TRUE,"ABSTRACT This consensus document has been drawn up by the Techniques and Transplantation and Nursing areas of the Spanish Society of Pulmonology and Thoracic Surgery (SEPAR) and the Spanish Society of Respiratory Endoscopy (AEER) with the aim of providing information on the safe and effective use of bronchoscopy in patients with suspected or confirmed COVID-19 infection. Our priority is to ensure the safety of our patients, the health workers caring for them, and the community in general.At this stage in the pandemic, our information on the use of bronchoscopy in patients of this type is based on the experience of hospitals in other countries, and scientific publications are scarce. The objective of this document is to compile these experiences, based on recommendations from official agencies, in a document offering guidance in daily clinical practice."
