,question,answer,answer_start,is_impossible,abstract,,,,,,,,,,,,,,,,,,,,,,
32809,What did the particular approach do a satisfactory job in doing?,predicting the final outcome of the Ebola outbreak of 2014-15,996,FALSE,"During a burgeoning outbreak of a novel disease, public attention will ordinarily expand as the severity of the outbreak expands--as infections multiply and news reports accumulate. Such public attention will in turn reinforce tactics to control the outbreak. In classical epidemiological models, effects of such tactics can be incorporated in standard parameters of transmission, recovery, and mortality. Unfortunately, early in an outbreak those individual parameters may be poorly known, hence corresponding models can get lost in uncertainty. This makes it difficult to determine whether the disease is spreading exponentially or logistically, or along another path. Examining cases over time is also problematic, as a logistically growing infection that is leveling off appears exponential in early phases. Here we report on the most basic mechanistic, ecological model we can imagine, which can help distinguish growth that is and is not under control. This approach did a satisfactory job predicting the final outcome of the Ebola outbreak of 2014-15. The model's two parameters were computable in real time, well before the outcome was actually known. The first parameter is an intrinsic rate of increase in cumulative deaths or reported cases. The second parameter is related to the human social system and represents all tactics that combine to control the outbreak. That parameter is coupled to the number of cumulative deaths or cases. We examine the basic mechanisms operating in this model and show the predictions made during the Ebola outbreak. We also consider how this basic model is performing for the Covid-19 pandemic and highlight ecological models that align with popularly discussed concepts such as flatten-the-curve, exponential growth, and inflection points of curves.",,,,,,,,,,,,,,,,,,,,,,
32096,"Where was the 2019 novel coronavirus disease (COVID-19), first reported?",in Wuhan of China,133,FALSE,"Due to the excessively high capability of human-to-human transmission, the 2019 novel coronavirus disease (COVID-19), first reported in Wuhan of China, has rapidly spread to the entire nation and beyond, and has now been declared a global public health emergency. Understanding the transmission pattern of the virus and the effect of control measures on the transmission, is crucial to improving the national and international disease control effectiveness. We here propose a simple model based on the exponential infectious growth but with a time-varying, largely damping, transmission rate. This model provides an excellent fit to the existing data and, we think, has largely captured the transmission pattern of the COVID-19 outbreak under a variety of intervention and control measures. Successful control measures, such as in China and South Korea, have resulted in an exponentially damping dynamics of the viral spread. Such exponential damping, therefore, could be used as a measure of control effectiveness, as also shown in the data of the 2003 severe acute respiratory syndrome (SARS). Our model suggests that the COVID-19 outbreak is currently accelerating worldwide with the exponential damping yet to emerge. Consistent with the message from the World Health Organisation (WHO), we thus strongly suggest all countries to take active measures to contain this global pandemic.",,,,,,,,,,,,,,,,,,,,,,
32914,What were the most common clinical symptoms?,fever (89%) and dry cough (60%),881,FALSE,"Objectives: Investigate the characteristics and rules of hematology changes in patients with COVID-19, and explore the possibility to identify moderate and severe patients using conventional hematology parameters or combined parameters. Methods: The clinical data of 45 moderate and severe type patients with SARS-CoV-2 infections in Jingzhou Central Hospital from January 23 to February 13, 2020 were collected. The epidemiological indexes, clinical symptoms and laboratory test results of the patients were retrospectively analyzed. Those parameters with significant differences between the two groups were analyzed, and the combination parameters with best diagnostic performance were selected using the LDA method. Results: Of the 45 patients with COVID-19 (35 moderate and 10 severe cases), 23 were male and 22 female, aged 16-62 years. The most common clinical symptoms were fever (89%) and dry cough (60%). As the disease progressed, WBC, Neu#, NLR, PLR, RDW-CV and RDW-SD parameters in the severe group were significantly higher than that in the moderate group (P<0.05); meanwhile, Lym#, Eos#, HFC%, RBC, HGB and HCT parameters in the severe group were significantly lower than that in the moderate group (P<0.05). For NLR, the AUC, the best cut-off value, the sensitivity and the specificity were 0.890, 13.39, 83.3% and 82.4% respectively, and for PLR , the AUC, the best cut-off, the sensitivity and the specificity were 0.842, 267.03, 83.3% and 74.0% respectively. The combined parameter NLR&RDW-SD had the best diagnostic efficiency (AUC was 0.938) and when the cut-off value was 1.046, the sensitivity and the specificity were 90.0% and 84.7% respectively, followed by the fitting parameter NLR&RDW-CV (AUC = 0.923). When the cut-off value was 0.62, the sensitivity and the specificity for distinguishing severe type from moderate cases of COVID-19 were 90.0% and 82.4% respectively. Conclusions: The combined parameter NLR&RDW-SD is the best hematology index and can help clinicians to predict the severity of COVID-19 patients, and it can be used as a useful indicator to help prevent and control the epidemic.",,,,,,,,,,,,,,,,,,,,,,
41399,Where are cases of 2019-nCoV are now being reported?,in different regions around the globe,42,FALSE,"Cases of 2019-nCoV are now being reported in different regions around the globe, concerning for a possible SARS like epidemic that infected for than 8000 people in 2002-03. Though, major health authorities are still working on understanding the virus and its transmission, here we present a brief report regarding the 2019-nCoV outbreak and what is known so far.",,,,,,,,,,,,,,,,,,,,,,
26603,How many confirmed cases of the peak existing arrived on 15 February 2020?,59769,390,FALSE,"Using the parameterized SEIR model, we simulated the spread dynamics of COVID-19 outbreak and impact of different control measures, conducted the sensitivity analysis to identify the key factor, plotted the trend curve of effective reproductive number(R) and performed data fitting after the simulation. By simulation and data fitting, the model showed the peak existing confirmed cases of 59769 arriving on 15 February 2020, with coefficient of determination close to 1 and the fitting bias 3.02%, suggesting high precision of the data fitting results. More rigorous government control policies were associated with slower increase of the infected population. Isolation and protective procedures would be less effective as more cases accrue, so the optimization of treatment plan and the development of specific drugs would be of more importance. There was an upward trend of R in the beginning, followed by a downward trend, a temporary rebound and another continuous decline. The feature of high infectiousness for sars-cov-2 led to the upward trend, and government measures contributed to the temporary rebound and declines. The declines of R could be exploited as strong evidence for the effectiveness of the interventions. Evidence from the four-phase stringent measures showed that it was significant to ensure early detection, early isolation, early treatment, adequate medical supplies, patients' being admitted to designated hospitals and comprehensive therapeutic strategy. Collaborative efforts are required to combat the novel coronavirus, focusing on both persistent strict domestic interventions and vigilance against exogenous imported cases. This article is protected by copyright. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,
32024,What did we apply to predict COVID-19 vaccine candidates?,the Vaxign reverse vaccinology tool and the newly developed Vaxign-ML machine learning tool,529,FALSE,"To ultimately combat the emerging COVID-19 pandemic, it is desired to develop an effective and safe vaccine against this highly contagious disease caused by the SARS-CoV-2 coronavirus. Our literature and clinical trial survey showed that the whole virus, as well as the spike (S) protein, nucleocapsid (N) protein, and membrane (M) protein, have been tested for vaccine development against SARS and MERS. However, these vaccine candidates might lack the induction of complete protection and have safety concerns. We then applied the Vaxign reverse vaccinology tool and the newly developed Vaxign-ML machine learning tool to predict COVID-19 vaccine candidates. By investigating the entire proteome of SARS-CoV-2, six proteins, including the S protein and five non-structural proteins (nsp3, 3CL-pro, and nsp8-10), were predicted to be adhesins, which are crucial to the viral adhering and host invasion. The S, nsp3, and nsp8 proteins were also predicted by Vaxign-ML to induce high protective antigenicity. Besides the commonly used S protein, the nsp3 protein has not been tested in any coronavirus vaccine studies and was selected for further investigation. The nsp3 was found to be more conserved among SARS-CoV-2, SARS-CoV, and MERS-CoV than among 15 coronaviruses infecting human and other animals. The protein was also predicted to contain promiscuous MHC-I and MHC-II T-cell epitopes, and linear B-cell epitopes localized in specific locations and functional domains of the protein. By applying reverse vaccinology and machine learning, we predicted potential vaccine targets for effective and safe COVID-19 vaccine development. We then propose that an ""Sp/Nsp cocktail vaccine"" containing a structural protein(s) (Sp) and a non-structural protein(s) (Nsp) would stimulate effective complementary immune responses.",,,,,,,,,,,,,,,,,,,,,,
31702,Since when did COVID-19 emerge in Wuhan city?,mid-December 2019,18,FALSE,"Background: Since mid-December 2019, a cluster of pneumonia-like diseases caused by a novel coronavirus, now designated COVID-19 by the WHO, emerged in Wuhan city and rapidly spread throughout China. Here we identify the clinical characteristics of COVID-19 in a cohort of patients in Shanghai. Methods: Cases were confirmed by real-time RT-PCR and were analysed for demographic, clinical, laboratory and radiological features. Results: Of 198 patients, the median duration from disease onset to hospital admission was 4 days. The mean age of the patients was 50.1 years, and 51.0% patients were male. The most common symptom was fever. Less than half of the patients presented with respiratory systems including cough, sputum production, itchy or sore throat, shortness of breath, and chest congestion. 5.6% patients had diarrhoea. On admission, T lymphocytes were decreased in 45.8% patients. Ground glass opacity was the most common radiological finding on chest computed tomography. 9.6% were admitted to the ICU because of the development of organ dysfunction. Compared with patients not treated in ICU, patients treated in the ICU were older, had longer waiting time to admission, fever over 38.5o C, dyspnoea, reduced T lymphocytes, elevated neutrophils and organ failure. Conclusions: In this single centre cohort of COVID-19 patients, the most common symptom was fever, and the most common laboratory abnormality was decreased blood T cell counts. Older age, male, fever over 38.5oC, symptoms of dyspnoea, and underlying comorbidity, were the risk factors most associated with severity of disease. Key words: 2019 novel coronavirus; acute respiratory infection; risk factors for disease severity",,,,,,,,,,,,,,,,,,,,,,
28742,Which model was used for survival analysis?,Cox proportional hazard regression model,551,FALSE,"Abstract Background In December 2019, COVID-19 outbreak occurred in Wuhan. Data on the clinical characteristics and outcomes of patients with severe COVID-19 are limited. Objective The severity on admission, complications, treatment, and outcomes of COVID-19 patients were evaluated. Methods Patients with COVID-19 admitted to Tongji Hospital from January 26, 2020 to February 5, 2020 were retrospectively enrolled and followed-up until March 3, 2020. Potential risk factors for severe COVID-19 were analyzed by a multivariable binary logistic model. Cox proportional hazard regression model was used for survival analysis in severe patients. Results We identified 269 (49.1%) of 548 patients as severe cases on admission. Elder age, underlying hypertension, high cytokine levels (IL-2R, IL-6, IL-10, and TNF-a), and high LDH level were significantly associated with severe COVID-19 on admission. The prevalence of asthma in COVID-19 patients was 0.9%, markedly lower than that in the adult population of Wuhan. The estimated mortality was 1.1% in nonsevere patients and 32.5% in severe cases during the average 32 days of follow-up period. Survival analysis revealed that male, elder age, leukocytosis, high LDH level, cardiac injury, hyperglycemia, and high-dose corticosteroid use were associated with death in patients with severe COVID-19. Conclusions Patients with elder age, hypertension, and high LDH level need careful observation and early intervention to prevent the potential development of severe COVID-19. Severe male patients with heart injury, hyperglycemia, and high-dose corticosteroid use may have high risk of death.",,,,,,,,,,,,,,,,,,,,,,
32390,How many unique combinations of peptides and HLA alleles (pMHCs) have a predicted binding affinity of less than 500nM?,"6,748",966,FALSE,"AbstractElucidating antiviral CD8 T lymphocyte responses to SARS-CoV-2 may shed light on the heterogeneity of clinical outcomes and inform vaccine or therapeutic approaches. To facilitate the evaluation of antiviral CD8 T cell responses to SARS-CoV-2, we generated a publicly accessible database of epitopes predicted to bind any class I HLA protein across the entire SARS-CoV-2 proteome. While a subset of epitopes from earlier betacoronaviruses, such as SARS-CoV (SARS), have been validated experimentally, validation systems are often biased toward specific HLA haplotypes (notably HLA-A*02:01) that only account for a fraction of the haplotypes of individuals affected by the SARS-CoV-2 pandemic. To enable evaluation of epitopes across individuals with a variety of HLA haplotypes, we computed the predicted binding affinities between 9-mer peptides derived from the annotated SARS-CoV-2 peptidome across 9,360 MHC class I HLA-A, -B, and -C alleles. There were 6,748 unique combinations of peptides and HLA alleles (pMHCs) with a predicted binding affinity of less than 500nM, including 1,103 unique peptides and 1,022 HLA alleles, spanning 11 annotated superfamilies. These peptides were derived from all 11 proteins spanning the SARS-CoV-2 peptidome, including peptides that have previously been validated experimentally. We also show evidence that these previously validated epitopes may be relevant in other HLA contexts. This complete dataset is available publicly: gs://pici-covid19-data-resources/mhci/peptide_predictions.",,,,,,,,,,,,,,,,,,,,,,
32519,Why may treatments involving certain liquids and vapors require caution?,"as steam, alcohol, and bleach all led to degradation in filtration efficiency, leaving the user vulnerable to viral aerosols",682,FALSE,"The Coronavirus Disease 2019 (COVID-19) pandemic has led to a major shortage of N95 respirators, which protect healthcare professionals and the public who may come into contact with the virus. It is necessary to determine the conditions that would allow the safe reuse respirators and personal protection in this crisis. We found that heating (<100 Â°C) under various humidities (up to 100% RH at 75 Â°C) and ultraviolet (UV) irradiation were the most promising candidates for mask reuse in the modern hospital infrastructure (up to 20 cycles), when tested on a fabric with particle filtration efficiency â‰¥95%. Treatments involving certain liquids and vapors may require caution, as steam, alcohol, and bleach all led to degradation in filtration efficiency, leaving the user vulnerable to viral aerosols.",,,,,,,,,,,,,,,,,,,,,,
31525,What can be deduced by classic SIR models?,"the disease's infection intensity, peak time and the epidemiological end time",899,FALSE,"ABSTRACT BACKGROUND AND OBJECTIVE The novel coronavirus (SARS-Cov-2) infected coronavirus disease 2019 (COVID-19) was broken out in Wuhan and Hubei province for more than a month. It severely threats people's health of thousands in Chin and even other countries. In order to prevent its wide spread, it is necessary to understand the development of the epidemic with precise mathematical language. METHODS The various data of novel coronavirus pneumonia were collected from the official websites of the National Health Committee of the People's Republic of China. According to epidemic and administrative division, three groups were divided to analyze the data, Hubei Province (including Wuhan), nationwide without Hubei and Henan Province. With classic SIR models, the fitting epidemiological curves of incidence have made, and basic reproduction number (R0) was also calculated as well. Therefore the disease's infection intensity, peak time and the epidemiological end time can be deduced.",,,,,,,,,,,,,,,,,,,,,,
30632,How were COVID-19 cases with and without travel history to China divided into cohorts?,According to the Healthcare Access and Quality Index (HAQ-Index) of each country,688,FALSE,"Abstract Background With its epicenter in Wuhan, China, the COVID-19 outbreak was declared a pandemic by the World Health Organization (WHO). While many countries have implemented flight restrictions to China, an increasing number of cases with or without travel background to China are confirmed daily. These developments support concerns on possible unidentified and unreported international COVID-19 cases, which could lead to new local disease epicenters. Methods We have analyzed all available data on the development of international COVID-19 cases from January 20th, 2020 until February 18th, 2020. COVID-19 cases with and without travel history to China were divided into cohorts according to the Healthcare Access and Quality Index (HAQ-Index) of each country. Chi-square and Post-hoc testing were performed. Results While COVID-19 cases with travel history to China seem to peak for each HAQ-cohort, the number of non-travel related COVID-19 cases seem to continuously increase in the HAQ-cohort of countries with higher medical standards. Further analyses demonstrate a significantly lower proportion of reported COVID-19 cases without travel history to China in countries with lower HAQ (HAQ I vs. HAQ II, posthoc p < 0.01). Conclusions Our data indicate that countries with lower HAQ-index may either underreport COVID-19 cases or are unable to adequately detect them. Although our data may be incomplete and must be interpreted with caution, inconsistencies in reporting COVID-19 cases is a serious problem which might sabotage efforts to contain the virus.",,,,,,,,,,,,,,,,,,,,,,
50361,What does the most recent estimates of R(T) indicate?,a secondary outbreak of the novel coronavirus was unlikely to occur aboard the Diamond Princess Ship,833,FALSE,"An outbreak of COVID-19 developed aboard the Princess Cruises Ship during Januaryâ€“February 2020. Using mathematical modeling and time-series incidence data describing the trajectory of the outbreak among passengers and crew members, we characterize how the transmission potential varied over the course of the outbreak. Our estimate of the mean reproduction number in the confined setting reached values as high as ~11, which is higher than mean estimates reported from community-level transmission dynamics in China and Singapore (approximate range: 1.1â€“7). Our findings suggest that R(t) decreased substantially compared to values during the early phase after the Japanese government implemented an enhanced quarantine control. Most recent estimates of R(t) reached values largely below the epidemic threshold, indicating that a secondary outbreak of the novel coronavirus was unlikely to occur aboard the Diamond Princess Ship.",,,,,,,,,,,,,,,,,,,,,,
36626,When was the National Committee on COVID-19 Epidemiology in Ministry of Health and Medical Education established?,After detection of the first confirmed cases of COVID-19 in Iran,0,FALSE,"After detection of the first confirmed cases of COVID-19 in Iran, the National Committee on COVID-19 Epidemiology in Ministry of Health and Medical Education was established. This Committee is official source of gathering, analyzing, and reporting the COVID-19 data in Iran. The data of all sources in the country including, medical care monitoring center (MCMC), Hospitalsâ€™ Information Systems (HIS), Laboratory portal, the data of the center for communicable disease control (MOH), as well as the data from community health centers are integrated and used in this regards. This factsheet contain daily situation report on coronavirus disease (covid-19) in Iran; March 15, 2020.",,,,,,,,,,,,,,,,,,,,,,
31824,What do we use early reported case data to predict?,the cumulative number of reported cases to a final size,96,FALSE,"We model the COVID-19 coronavirus epidemic in China. We use early reported case data to predict the cumulative number of reported cases to a final size. The key features of our model are the timing of implementation of major public policies restricting social movement, the identification and isolation of unreported cases, and the impact of asymptomatic infectious cases.",,,,,,,,,,,,,,,,,,,,,,
32439,"What did we use to characterize viral infection kinetics, tissue-level remodeling of the cellular ultrastructure and transcriptional immune signatures induced by SARS-CoV-2?",human reconstituted airway epithelial models of nasal or bronchial origin,357,FALSE,"AbstractIn the current COVID-19 pandemic context, proposing and validating effective treatments represents a major challenge. However, the lack of biologically relevant pre-clinical experimental models of SARS-CoV-2 infection as a complement of classic cell lines represents a major barrier for scientific and medical progress. Here, we advantageously used human reconstituted airway epithelial models of nasal or bronchial origin to characterize viral infection kinetics, tissue-level remodeling of the cellular ultrastructure and transcriptional immune signatures induced by SARS-CoV-2. Our results underline the relevance of this model for the preclinical evaluation of antiviral candidates. Foremost, we provide evidence on the antiviral efficacy of remdesivir and the therapeutic potential of the remdesivir-diltiazem combination as a rapidly available option to respond to the current unmet medical need imposed by COVID-19.One Sentence SummaryNew insights on SARS-CoV-2 biology and drug combination therapies against COVID-19.",,,,,,,,,,,,,,,,,,,,,,
32855,Based on SIR when will the peak be if Movement Contro (MCO) is in place?,20th - 31st May 2020 ,1419,FALSE,"COVID-19 epidemic in Malaysia started as a small wave of 22 cases in January 2020 through imported cases. It was followed by a bigger wave mainly from local transmissions resulting in 651 cases. The following wave saw unexpectedly three digit number of daily cases following a mass gathering urged the government to choose a more stringent measure. A limited lock-down approach called Movement Control Order (MCO) was immediately initiated to the whole country as a way to suppress the epidemic trajectory. The lock-down causes a major socio-economic disruption thus the ability to forecast the infection dynamic is urgently required to assist the government on timely decisions. Limited testing capacity and limited epidemiological data complicate the understanding of the future infection dynamic of the COVID-19 epidemic. Three different epidemic forecasting models was used to generate forecasts of COVID-19 cases in Malaysia using daily reported cumulative case data up until 1st April 2020 from the Malaysia Ministry of Health. The forecasts were generated using a Curve Fitting Model with Probability Density Function and Skewness Effect, the SIR Model, and a System Dynamic Model. Method one based on curve fitting with probability density function estimated that the peak will be on 19th April 2020 with an estimation of 5,637 infected persons. Method two based on SIR Model estimated that the peak will be on 20th - 31st May 2020 if Movement Contro (MCO) is in place with an estimation of 630,000 to 800,000 infected persons. Method three based on System Dynamic Model estimated that the peak will be on 17th May 2020 with an estimation of 22,421 infected persons. Forecasts from each of model suggested the epidemic may peak between middle of April to end of May 2020. Keywords: COVID-19, Infection dynamic, Prediction Modeling, SIR, System Learning, Lock-down",,,,,,,,,,,,,,,,,,,,,,
32571,What data did we focus on?,the sister virus SARS-CoV-1,522,FALSE,"In the COVID-19 pandemic caused by SARS-CoV-2, hospitals are stretched beyond capacity. There are widespread reports of dwindling supplies of personal protective equipment (PPE), which are paramount to protect frontline medical/nursing staff and to minimize further spread of the virus. We carried out a rapid review to summarize the existing evidence on SARS-CoV-2 survivorship and methods to disinfect PPE gear, particularly N95 filtering facepiece respirators (FFR). In the absence of data on SARS-CoV-2, we focused on the sister virus SARS-CoV-1. We propose a two-step disinfection process, which is conservative in the absence of robust evidence on SARS-CoV-2. This disinfection protocol is based on an initial storage of PPE for â‰¥4 days, followed by ultraviolet light (UVC), dry heat treatment, or chemical disinfection. Importantly, each of the two steps is based on independent disinfection mechanisms, so that our proposed protocol is a multiplicative system, maximising the efficacy of our disinfection process. This method could be rapidly implemented in other healthcare settings, while testing of each method is undertaken, increasing the frontline supply of PPE, and avoiding many of the upstream issues of supply chain disruption currently being faced.",,,,,,,,,,,,,,,,,,,,,,
40788,What is Coronavirus disease 2019 (COVID-19) caused by?,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),153,FALSE,"Abstract Coronavirus disease 2019 (COVID-19) is a kind of viral pneumonia with an unusual outbreak in Wuhan, China, in December 2019, which is caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The emergence of SARS-CoV-2 has been marked as the third introduction of a highly pathogenic coronavirus into the human population after the severe acute respiratory syndrome coronavirus (SARS-CoV) and the Middle East respiratory syndrome coronavirus (MERS-CoV) in the twenty-first century. In this minireview, we provide a brief introduction of the general features of SARS-CoV-2 and discuss current knowledge of molecular immune pathogenesis, diagnosis and treatment of COVID-19 on the base of the present understanding of SARS-CoV and MERS-CoV infections, which may be helpful in offering novel insights and potential therapeutic targets for combating the SARS-CoV-2 infection.",,,,,,,,,,,,,,,,,,,,,,
32356,What is the mortality rate observed amongst Chinese patients?,3.60%,360,FALSE,"Coronavirus disease 2019 (COVID19) is an infectious disease caused by severe acute respiratory syndrome coronavirus 2 (SARSCoV2), it was first identified in 2019 in Wuhan, China and has resulted in the 2019-20 coronavirus pandemic. As of March 1, 2020, 79,968 patients in China and 7169 outside of China had tested positive for COVID19 and a mortality rate of 3.6% has been observed amongst Chinese patients. Its primary mode of transmission is via respiratory droplets from coughs and sneezes. The virus can remain viable for up to three days on plastic and stainless steel or in aerosols for upto 3 hours and is relatively more stable than the known human coronaviruses. It is stable in faeces at room temperature for at least 1-2 days and can be stable in infected patients for up to 4 days. Heat at 56 degree Celsius kills the SARS coronavirus at around 10000 units per 15 minutes. Thus, temperature is an important factor in survival of COVID19 virus and this article focuses on understanding the relationship between temperature and COVID19 transmission from the data available between January-March 2020.",,,,,,,,,,,,,,,,,,,,,,
43341,During the COVID-19 pandemic what should be managed medically where possible?,"all emergent otolaryngological conditions affecting the airway, oral, and nasal cavities",295,FALSE,"Abstract Paediatric otolaryngology practice involves examining and operating in anatomical locations with high levels of aerosol generation and transmission of COVID-19 to treating clinicians, especially from the asymptomatic patient populations including children. During the COVID-19 pandemic all emergent otolaryngological conditions affecting the airway, oral, and nasal cavities should be managed medically where possible and any operating deferred. We present guidelines for operating on paediatric otolaryngological patients when necessary during the COVID-19 pandemic, and incorporate experience gathered during microlaryngobronchoscopy on a COVID-19 positive infant at our institution.",,,,,,,,,,,,,,,,,,,,,,
32361,What was identified faster in the case of COVID-19 than in the case of H7N9 avian influenza?,the pathogen,1147,FALSE,"Background: The novel coronavirus disease 2019 (COVID-19) outbreak is spreading rapidly throughout China and the world. Hence, early surveillance and public health emergency disposal are considered crucial to curb this emerging infectious disease. However, studies that investigated the early surveillance and public health emergency disposal for the prevention and control of the COVID-19 outbreak in China are relatively few. We aimed to compare the strengths and weaknesses of early surveillance and public health emergency disposal for prevention and control between COVID-19 and H7N9 avian influenza, which was commended by the international community, in China. Methods: A case-comparison study was conducted using a set of six key time nodes to form a reference framework for evaluating early surveillance and public health emergency disposal between H7N9 avian influenza (2013) in Shanghai, China and COVID-19 in Wuhan, China. Findings: A report to the local Center for Disease Control and Prevention, China, for the first hospitalized patient was sent after 6 and 20 days for H7N9 avian influenza and COVID-19, respectively. In contrast, the pathogen was identified faster in the case of COVID-19 than in the case of H7N9 avian influenza (12 days vs. 31 days). The government response regarding COVID-19 was 10 days later than that regarding avian influenza. The entire process of early surveillance and public health emergency disposal lasted 5 days longer in COVID-19 than in H7N9 avian influenza (46 days vs. 41 days). Conclusions: The identification of the unknown pathogen improved in China between the outbreaks of avian influenza and COVID-19. The longer emergency disposal period in the case of COVID-19 could be attributed to the government's slower response to the epidemic. Improving public health emergency management could lessen the adverse social effects of emerging infectious diseases and public health crisis in the future.",,,,,,,,,,,,,,,,,,,,,,
32459,What percentage of the recruited respondents reported practising the social distancing recommended by the government?,85%,822,FALSE,"The Japanese government instituted countermeasures against COVID-19, a pneumonia caused by the new coronavirus, in January 2020. Seeking â€œpeople's behavioral changes,â€ù in which the government called on the public to take precautionary measures or exercise self-restraint, was one of the important strategies. The purpose of this study is to investigate how and from when Japanese citizens have changed their precautionary behavior under these circumstances, where the government has only requested their cooperation. This study uses micro data from a cross-sectional survey conducted on an online platform of an online research company, based on quota sampling that is representative of the Japanese population. By the end of March 2020, we had recruited a total of 11,342 respondents, aged from 20 to 64 years. About 85% reported practising the social distancing recommended by the government. More females than males and more older than younger participants are supportive of practicing social distancing. Frequent handwashing is conducted by 86 percent of all, 92 percent of female and 87.9 percent of over-40 participants. The most important event influencing these precautionary actions was the infection aboard the Diamond Princess cruise ship, which occurred in early February 2020 (23%). Information from the central and local governments, received by 60% of the participants, was deemed trustworthy by 50%. However, the results also showed that about 20% of the participants were reluctant to implement proper prevention measures. The statistical analysis indicated that the typical characteristics of those people were male, younger (under 30 years old), unmarried, from lower-income households, with a drinking or smoking habit and a higher extraversion score. To prevent the spread of infection in Japan, it is imperative to address these individuals and encourage their behavioral changes using various means to reach and influence them.",,,,,,,,,,,,,,,,,,,,,,
29257,What are the symptoms of COVID-19?,,,TRUE,"The UK government has released the scientific advice it has received on covid-19, and independent experts aren't impressed, reports Jessica Hamzelou",,,,,,,,,,,,,,,,,,,,,,
31704,What symptoms were rare for COVID-19?,"dizziness, hemoptysis, abdominal pain and conjunctival congestion/conjunctivitis",610,FALSE,"Objective: To compare the difference between severe and non-severe COVID-19 pneumonia and figure out the potential symptoms lead to severity. Methods: Articles from PubMed, Embase, Cochrane database, and google up-to 24 February 2020 were systematically reviewed. Eighteen Literatures were identified with cases of COVID-19 pneumonia. The extracted data includes clinical symptoms, age, gender, sample size and region et al were systematic reviewed and meta analyzed. Results: 14 eligible studies including 1,424 patients were analyzed. Symptoms like fever (89.2%), cough (67.2%), fatigue (43.6%) were common, dizziness, hemoptysis, abdominal pain and conjunctival congestion/conjunctivitis were rare. Polypnea/dyspnea in severe patients were significantly higher than non-severe (42.7% vs.16.3%, P<0.0001). Fever and diarrhea were higher in severe patients(p=0.0374and0.0267). Further meta-analysis showed incidence of fever(OR1.70,95%CI 1.01-2.87), polypnea/dyspnea(OR3.53, 95%CI 1.95-6.38) and diarrhea(OR1.80,95%CI 1.06-3.03) was higher in severe patients, which meant the severe risk of patients with fever, polypnea/dyspnea, diarrhea were 1.70, 3.53, 1.80 times higher than those with no corresponding symptoms. Conclusions: Fever, cough and fatigue are common symptoms in COVID-19 pneumonia. Compared with non-severe patients, the symptoms as fever, polypnea/dyspnea and diarrhea are potential symptoms lead to severity.",,,,,,,,,,,,,,,,,,,,,,
26900,"As an academic journal, what we will continue to do?",quickly and transparently share data with frontline healthcare workers who need to know the epidemiological and clinical features of COVID-19,830,FALSE,"Rapidly sharing scientific information is an effective way to reduce public panic about COVID-19, and doing so is the key to providing real-time guidance to epidemiologists working to contain the outbreak, clinicians managing patients, and modelers helping to understand future developments and the possible effectiveness of various interventions. This issue has rapidly reviewed and published articles describing COVID-19, including the drug treatment options for SARS-CoV-2, its clinical characteristics, and therapies involving a combination of Chinese and Western medicine, the efficacy of chloroquine phosphate in the treatment of COVID-19 associated pneumonia according to clinical studies, and reflections on the system of reserve medical supplies for public health emergencies. As an academic journal, we will continue to quickly and transparently share data with frontline healthcare workers who need to know the epidemiological and clinical features of COVID-19.",,,,,,,,,,,,,,,,,,,,,,
32503,What should not be considered a hallmark of COVID-19 in children?,Fever and respiratory symptoms,1748,FALSE,"Context: The coronavirus disease 2019 (COVID-19) outbreak is an unprecedented global public health challenge, leading to thousands of deaths every day worldwide. Despite the epidemiological importance, clinical patterns of children with COVID-19 remain unclear. Objective: To describe the clinical, laboratorial and radiological characteristics of children with COVID-19. Data Sources: The Medline database was searched between December 1st 2019 and March 30th 2020. Study Selection: Inclusion criteria were: (1) studied patients younger than 18 years old; (2) presented original data from cases of COVID-19 confirmed by reverse-transcription polymerase chain reaction; and (3) contained descriptions of clinical manifestations, laboratory tests or radiological examinations. Data Extraction: Number of cases, gender, age, clinical manifestations, laboratory tests, radiological examinations and outcomes. Results: A total of 34 studies (1,118 cases) were included. From all the cases, 1,111 had their severity classified: 14.3% were asymptomatic, 36.4% were mild, 46.0% were moderate, 2.2% were severe and 1.2% were critical. The most prevalent symptom was fever (16.3%), followed by cough (14.4%), nasal symptoms (3.6%), diarrhea (2.7%) and nausea/vomiting (2.5%). One hundred forty-five (12.9%) children were diagnosed with pneumonia and 43 (3.8%) upper airway infections were reported. Reduced lymphocyte count were reported in 13.1% of cases. Abnormalities on computed tomography was reported in 62.7% of cases. The most prevalent abnormalities reported were ground glass opacities, patchy shadows and consolidations. Only one death was reported. Conclusions: Clinical manifestations of children with COVID-19 differ widely from adults cases. Fever and respiratory symptoms should not be considered a hallmark of COVID-19 in children.",,,,,,,,,,,,,,,,,,,,,,
