,question,answer,answer_start,is_impossible,abstract
30505,What are guidances the paper provides?,"managing invasive and non-invasive electrophysiology procedures, clinic visits and cardiac device interrogations",570,FALSE,"Abstract Covid-19 is a global pandemic that is wreaking havoc with the health and economy of much of human civilization. Electrophysiologists have been impacted personally and professionally by this global catastrophe. In this joint document from representatives of the HRS, ACC and AHA we identify the potential risks of exposure to patients, allied health care staff, industry representatives and hospital administrators. We describe the impact of COVID-19 on cardiac arrhythmias and methods of triage based on acuity and patient comorbidities. We provide guidance for managing invasive and non-invasive electrophysiology procedures, clinic visits and cardiac device interrogations. We discuss resource conservation and the role of tele-medicine in remote patient care along with management strategies for affected patients."
36627,Which medicine could counteract majority of the immunopathological manifestations of the COVID-19 infection?,Metronidazole,814,FALSE,"Coronavirus disease 2019 or COVID-19 has rapidly emerged as a global pandemic. This viral infection involves the upper respiratory tract and could lead to severe pneumonia with respiratory distress or even death. Certain studies have found higher initial plasma levels of most pro-inflammatory cytokines during the course of the infection. In this context, both in vitro and in vivo studies have revealed that metronidazole could decrease the levels of several cytokines, which are known to increase during the COVID-19 infection, including interleukin (IL)8, IL6, IL1B, tumor necrosis factor (TNF)α, IL12, IL1α, and interferon (IFN)γ, as well as the levels of C-reactive protein (CRP) and neutrophil count. Furthermore, the drug could decrease neutrophil-generated reactive oxygen species during inflammation. Metronidazole could counteract majority of the immunopathological manifestations of the COVID-19 infection. Therefore, studies with a large sample size are required to determine the efficacy of metronidazole in the treatment of COVID-19 infection."
32889,Which element may act as a critical virulence factor not only in SARS-CoV but also in the case of the new coronavirus SARS-CoV-2?, CoV E,811,FALSE,"AbstractFollowing the Severe Acute Respiratory Syndrome coronavirus (SARS-CoV) in 2002 and Middle East Respiratory Syndrome coronavirus (MERS-CoV) in 2012, the novel coronavirus SARS-CoV-2 emerged at the end of 2019 as a highly pathogenic infectious agent that rapidly spread around the world. SARS-CoV-2 shares high sequence homology with SARS-CoV and causes acute, highly lethal pneumonia coronavirus disease 2019 (COVID-19) with clinical symptoms similar to those reported for SARS-CoV. Like other betacoronaviruses, SARS-CoV-2 encode four major structural proteins: Spike (S), Membrane (M), Nucleocapsid (N) and Envelope (E). SARS-CoV E protein is abundant in infected cells and plays a crucial role in viral particle assembly. Moreover, SARS coronaviruses lacking E are attenuated in vivo, suggesting that CoV E may act as a critical virulence factor not only in SARS-CoV but also in the case of the new coronavirus SARS-CoV-2. Ectopic expression of SARS-CoV E was previously shown to trigger apoptosis (cell suicide) of T lymphocytes, lymphopenia being a common feature observed in fatal cases following viral infections. Importantly, T-cell apoptosis was shown to involve interaction between the C-terminal region of SARS-CoV E and the Bcl-2 family member Bcl-xL, which acts as a potent anti-apoptotic protein. Here we provide the first observation that the SARS-CoV E and SARS-CoV-2 E proteins share a conserved Bcl-2 Homology 3 (BH3)-like motif in their C-terminal region, a well-studied motif shown to be necessary for SARS-CoV E binding to Bcl-xL. We used available sequence data for SARS-CoV-2 and related coronaviruses, in combination with structural information, to study the structure to biological activity relationships of SARS-CoV-2 E in relation with its BH3-like motif. Our analysis of the SARS-CoV E interactome further revealed that the predicted SARS-CoV-2 network is extensively wired to the Bcl-2 apoptotic switch. Research is therefore needed to establish if SARS-CoV-2 E targets prosurvival Bcl-2 homologs to modulate cell viability, as part of a coronavirus strategy to interfere with apoptosis. The identification of small molecules (or the repurposing of existing drugs) able to disrupt SARS-CoV-2 E BH3-mediated interactions might provide a targeted therapeutic approach for COVID-19 treatment. Recombinant SARS-CoV-2 expressing an E protein with a deleted or mutated BH3-like motif might also be of interest for the design of a live, attenuated vaccine."
32691,Where is simulation model run?,Kasaragod,597,FALSE,"Objective: In absence of any vaccine, the Corona Virus Disease 2019 (COVID-19) pandemic is being contained through a non-pharmaceutical measure termed Social Distancing (SD). However, whether SD alone is enough to flatten the epidemic curve is debatable. Using a Stochastic Computational Simulation Model, we investigated the impact of increasing SD, hospital beds and COVID-19 detection rates in preventing COVID-19 cases and fatalities. Research Design and Methods: The Stochastic Simulation Model was built using the EpiModel package in R. As a proof of concept study, we ran the simulation on Kasaragod, the most affected district in Kerala. We added 3 compartments to the SEIR model to obtain a SEIQHRF (Susceptible-Exposed-Infectious-Quarantined-Hospitalised-Recovered-Fatal) model. Results: Implementing SD only delayed the appearance of peak prevalence of COVID-19 cases. Doubling of hospital beds could not reduce the fatal cases probably due to its overwhelming number compared to the hospital beds. Increasing detection rates could significantly flatten the curve and reduce the peak prevalence of cases (increasing detection rate by 5 times could reduce case number to half). Conclusions: An effective strategy to contain the epidemic spread of COVID-19 in India is to increase detection rates in combination with SD measures and increase in hospital beds."
52149,"By Feb 10, 2020, how many patients were transferred from the hospitals across Beijing to the designated hospitals for special treatment of the COVID-19?",262,854,FALSE,"Abstract Background Since the first case of a novel coronavirus (COVID-19) infection pneumonia was detected in Wuhan, China, a series of confirmed cases of the COVID-19 were found in Beijing. We analyzed the data of 262 confirmed cases to determine the clinical and epidemiological characteristics of COVID-19 in Beijing. Methods We collected patients who were transferred by Beijing Emergency Medical Service to the designated hospitals. The information on demographic, epidemiological, clinical, laboratory test for the COVID-19 virus, diagnostic classification, cluster case and outcome were obtained. Furthermore we compared the characteristics between severe and common confirmed cases which including mild cases, no-pneumonia cases and asymptomatic cases, and we also compared the features between COVID-19 and 2003 SARS. Findings By Feb 10, 2020, 262 patients were transferred from the hospitals across Beijing to the designated hospitals for special treatment of the COVID-19 infected by Beijing emergency medical service. Among of 262 patients, 46 (17.6%) were severe cases, 216 (82.4%) were common cases, which including 192 (73.3%) mild cases, 11(4.2%) non-pneumonia cases and 13 (5.0%) asymptomatic cases respectively. The median age of patients was 47.5 years old and 48.5% were male. 192 (73.3%) patients were residents of Beijing, 50 (26.0%) of which had been to Wuhan, 116 (60.4%) had close contact with confirmed cases, 21 (10.9%) had no contact history. The most common symptoms at the onset of illness were fever (82.1%), cough (45.8%), fatigue (26.3%), dyspnea (6.9%) and headache (6.5%). The median incubation period was 6.7 days, the interval time from between illness onset and seeing a doctor was 4.5 days. As of Feb 10, 17.2% patients have discharged and 81.7% patients remain in hospital in our study, the fatality of COVID-19 infection in Beijing was 0.9%. Interpretation On the basis of this study, we provided the ratio of the COVID-19 infection on the severe cases to the mild, asymptomatic and non-pneumonia cases in Beijing. Population was generally susceptible, and with a relatively low fatality rate. The measures to prevent transmission was very successful at early stage, the next steps on the COVID-19 infection should be focused on early isolation of patients and quarantine for close contacts in families and communities in Beijing. Funding Beijing Municipal Science and Technology Commission and Ministry of Science and Technology."
32907,"Which medicine prescribed to treat COVID-19, lacks any substantial evidence to suggest that the medication increases the risk of seizure?",chloroquine,1826,FALSE,"Background: The goal of this systematic review is to assess the published literature for seizure risk with chloroquine therapy in persons with and without epilepsy. With the COVID-19 pandemic, there is a desperate need for therapy against the SARS CoV-2 virus. Chloroquine is one proposed medication that has received substantial public attention. However, drug labeling in the package insertion states that persons with epilepsy have the risk of chloroquine provoking seizures, and this has increased questions and anxiety in the epilepsy community. Methods: PubMed (1970 to March 27, 2020) and the Embase (1970 to March 27, 2020) were searched with the terms chloroquine and seizure or epilepsy. Selected studies were reviewed, and the adverse drug reaction was classified. Results: Only nine out of 27 studies were deemed eligible for systematic analysis. Out of the nine studies, only one was a prospective study (N=109), two were case series (N=6), and the remaining 6 were case reports. The dose of chloroquine ranged between 100-500 mg/day, except in one patient, the seizure was after taking 1000 mg. The strength of causality for the drug causing seizures in healthy and persons with epilepsy was mostly possible or unlikely, and none were certain. The only clinical trial that evaluated seizure risk with chloroquine failed to find any significant relation. Conclusion: Although the drug insertion label states an increased risk of seizure, the systematic review highlights that such a statement is not supported by any class I studies but by anecdotal case reports. The only randomized clinical study revealed that seizures were not associated with an increased blood level of chloroquine or its metabolite. The present systematic review should provide reassurance to busy clinicians and persons with epilepsy that chloroquine, if prescribed to treat COVID-19, lacks any substantial evidence to suggest that the medication increases the risk of seizure."
36633,Which areas does the narrative review appraised?,epidemiological and clinical aspects of the disease ,644,FALSE,"There are significant misconceptions and many obstacles in the way of illuminating the epidemiological and clinical aspects of COVID-19 as a new emerging epidemic. In addition, usefulness of some evidence published in the context of the recent epidemic for decision making in clinic as well as public health is questionable. However, misinterpreting or ignoring strong evidence in clinical practice and public health probably results in less effective and somehow more harmful decisions for individuals as well as subgroups in general populations of countries in the initial stages of this epidemic. Accordingly, our narrative review appraised epidemiological and clinical aspects of the disease including genetic diversity of coronavirus genus, mode of transmission, incubation period, infectivity, pathogenicity, virulence, immunogenicity, diagnosis, surveillance, clinical case management and also successful measures for preventing its spread in some communities."
33006,What type of cities are the most vulnerable cities to COVID-19 in Mexico?,the most important cities within the Mexican air transportation network,942,FALSE,"Recently, a wide array of epidemiological models has been developed to guide public health actors in containing the rapid dissemination of the new severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), cause of COVID-19. Despite their usefulness, many epidemiological models recently developed to understand the spread of SARS-CoV-2 and infection rates of COVID-19 fall short as they ignore human mobility, limiting our understanding of the spread of the disease, together with the vulnerability of population centers in a broad scale. We developed a new temporally-explicit model and simulated several social distancing scenarios to predict the vulnerability to COVID-19 of 50 Mexican cities that are interconnected by their air transportation network. Additionally, we assessed the sufficiency of the public health infrastructure in the focal cities to face the pandemic over time. Based on our model, we show that the most important cities within the Mexican air transportation network are the most vulnerable to COVID-19, with all assessed public health infrastructure being insufficient to face the modeled scenario for the pandemic after 100 days. Despite these alarming findings, our results show that social distancing could dramatically decrease the total number of infected people (77% drop-off for the 45% distancing scenario when contrasted with no distancing), flattening the growth of infection rate. Thus, we consider that this study provides useful information that may help decision-makers to timely implement health policies to anticipate and lessen the impact of the current pandemic in Mexico."
52124,Which area is 2019-nCoV first appeared?,"Wuhan, China",71,FALSE,"Abstract A novel coronavirus designated as 2019-nCoV first appeared in Wuhan, China in late December 2019. Dozens of people died in China, and thousands of people infected as 2019-nCoV continues to spread around the world. We have described the discovery, emergence, genomic characteristics, and clinical diagnostics of 2019-nCoV."
26651,Which method plays an important role in the diagnosis and evaluation of this emerging global health emergency?,CT,1850,FALSE,"OBJECTIVES: To investigate the chest computed tomography (CT) findings in patients with confirmed corona virus disease 2019 (COVID-19) and to evaluate its relationship with clinical features. MATERIALS AND METHODS: Study sample consisted of 80 patients diagnosed as COVID-19 from January to February 2020. The chest CT images and clinical data were reviewed and the relationship between them was analyzed. RESULTS: Totally 80 patients diagnosed with COVID-19 were included. With regards to the clinical manifestations, 58/80 (73%) of patients had cough, 61/80 (76%) of patients had high temperature levels. The most frequent CT abnormalities observed were ground glass opacity (GGO) (73/80 cases, 91%), consolidation (50/80 cases, 63%) and interlobular septal thickening (47/80, 59%). Most of the lesions were multiple, with an average of 12±6 lung segments involved. The most common involved lung segments were the dorsal segment of the right lower lobe (69/80, 86%), the posterior basal segment of the right lower lobe (68/80, 85%), the lateral basal segment of the right lower lobe (64/80, 80%), the dorsal segment of the left lower lobe (61/80, 76%) and the posterior basal segment of the left lower lobe (65/80, 81%). The average pulmonary inflammation index (PII) value was (34%±20%) for all the patients. Correlation analysis showed that the PII value was significantly correlated with the values of lymphocyte count, monocyte count, C-reactive protein, procalcitonin, days from illness onset and body temperature (p<0.05). CONCLUSION: The common chest CT findings of COVID-19 are multiple GGO, consolidation and interlobular septal thickening in both lungs, which are mostly distributed under the pleura. There are significant correlations between the degree of pulmonary inflammation and the main clinical symptoms and laboratory results. CT plays an important role in the diagnosis and evaluation of this emerging global health emergency."
33703,Which crucial viral protein is used to screen the FDA approved drugs in silico?,the papain-like protease (PLpro),502,FALSE,"The cases of 2019 novel coronavirus (SARS-CoV-2) infection have been continuously increasing ever since its outbreak in China last December. Currently, there are no approved drugs to treat the infection. In this scenario, there is a need to utilize the existing repertoire of FDA approved drugs to treat the disease. The rational selection of these drugs could be made by testing their ability to inhibit any SARS-CoV-2 proteins essential for viral life-cycle. We chose one such crucial viral protein, the papain-like protease (PLpro), to screen the FDA approved drugs in silico. The homology model of the protease was built based on the SARS-coronavirus PLpro structure, and the drugs were docked in S3/S4 pockets of the active site of the enzyme. In our docking studies, sixteen FDA approved drugs, including chloroquine and formoterol, was found to bind the target enzyme with significant affinity and good geometry, suggesting their potential to be utilized against the virus. File list (1) download file view on ChemRxiv 2019-nCoV_final_draft2_ChemRxiv.pdf (1.15 MiB) Abstract The cases of 2019 novel coronavirus (SARS-CoV-2) infection have been continuously increasing ever since its outbreak in China last December. Currently, there are no approved drugs to treat the infection. In this scenario, there is a need to utilize the existing repertoire of FDA approved drugs to treat the disease. The rational selection of these drugs could be made by testing their ability to inhibit any SARS-CoV-2 proteins essential for viral life-cycle. We chose one such crucial viral protein, the papain-like protease (PLpro), to screen the FDA approved drugs in silico. The homology model of the protease was built based on the SARS-coronavirus PLpro structure, and the drugs were docked in S3/S4 pockets of the active site of the enzyme. In our docking studies, sixteen FDA approved drugs, including chloroquine and formoterol, was found to bind the target enzyme with significant affinity and good geometry, suggesting their potential to be utilized against the virus."
26752,What the coronavirus disease 2019 (COVID-19) used to be called?,novel coronavirus (2019-nCoV),102,FALSE,"This is the third epidemiological report for coronavirus disease 2019 (COVID-19), previously known as novel coronavirus (2019-nCoV), from the virus now known as SARS-CoV-2, reported in Australia as at 19:00 Australian Eastern Daylight Time [AEDT] 15 February 2020. It includes data on the COVID-19 Australian cases, the international situation and current information on the severity, transmission and spread."
31466,What is the viral main protease of this novel coronavirus?,"Mpro, also called 3CLpro",243,FALSE,"A novel coronavirus has been identified as the causative agent of a massive outbreak of atypical pneumonia originating at Wuhan, Hubei province, China. Involved in the formation of the coronavirus replication complex, the viral main protease (Mpro, also called 3CLpro) represents an attractive target for therapy. We determined the crystal structure of the unliganded Mpro at 1.75 Å resolution and used this structure to guide optimization of a series of alpha-ketoamide inhibitors. The main goal of the optimization efforts was improvement of the pharmacokinetic properties of the compounds. We further describe 1.95- and 2.20-Å crystal structures of the complex between the enzyme and the most potent alpha-ketoamide optimized this way. These structures will form the basis for further development of these compounds to antiviral drugs."
31541,What is the specific defense against viral invaders that binds to viral capsid in a manner that inhibits cellular entry of virus and uncoating of the genome?, The neutralizing antibody,453,FALSE,"Coronavirus disease 2019 (COVID-19) is a new emerging human infectious disease caused by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2, also previously known as 2019-nCoV), originated in Wuhan seafood and animal market, China. Since December 2019, more than 69,000 cases of COVID-19 have been confirmed in China and quickly spreads to other counties. Currently, researchers put their best efforts to identify effective drugs for COVID-19. The neutralizing antibody, which binds to viral capsid in a manner that inhibits cellular entry of virus and uncoating of the genome, is the specific defense against viral invaders. In this study, we investigate to identify neutralizing antibodies that can bind to SARS-CoV-2 Sipke (S) protein and interfere with the interaction between viral S protein and a host receptor by bioinformatic methods. The sequence analysis of S protein showed two major differences in the RBD region of the SARS-CoV-2 S protein compared to SARS-CoV and SARS-CoV related bat viruses (btSARS-CoV). The insertion regions were close to interacting residues with the human ACE2 receptor. Epitope analysis of neutralizing antibodies revealed that SARS-CoV neutralizing antibodies used conformational epitopes, whereas MERS-CoV neutralizing antibodies used a common linear epitope region, which contributes to form the β-sheet structure in MERS-CoV S protein and deleted in SARS-CoV-2 S protein. To identify effective neutralizing antibodies for SARS-CoV-2, the binding affinities of neutralizing antibodies with SARS-CoV-2 S protein were predicted and compared by antibody-antigen docking simulation. The result showed that CR3022 neutralizing antibody from human may have higher binding affinity with SARS-CoV-2 S protein than SARS-CoV S protein. We also found that F26G19 and D12 mouse antibodies could bind to SARS-CoV S protein with high affinity. Our findings provide crucial clues towards the development of antigen diagnosis, therapeutic antibody, and the vaccine against SARS-CoV-2."
31272, What is the natural reservoir host of the severe acute respiratory syndrome related coronaviruses (SARSr-CoV)?,bats1-4,178,FALSE,"Since the SARS outbreak 18 years ago, a large number of severe acute respiratory syndrome related coronaviruses (SARSr-CoV) have been discovered in their natural reservoir host, bats1-4. Previous studies indicated that some of those bat SARSr-CoVs have the potential to infect humans5-7. Here we report the identification and characterization of a novel coronavirus (nCoV-2019) which caused an epidemic of acute respiratory syndrome in humans, in Wuhan, China. The epidemic, started from December 12th, 2019, has caused 198 laboratory confirmed infections with three fatal cases by January 20th, 2020. Full-length genome sequences were obtained from five patients at the early stage of the outbreak. They are almost identical to each other and share 79.5% sequence identify to SARS-CoV. Furthermore, it was found that nCoV-2019 is 96% identical at the whole genome level to a bat coronavirus. The pairwise protein sequence analysis of seven conserved non-structural proteins show that this virus belongs to the species of SARSr-CoV. The nCoV-2019 virus was then isolated from the bronchoalveolar lavage fluid of a critically ill patient, which can be neutralized by sera from several patients. Importantly, we have confirmed that this novel CoV uses the same cell entry receptor, ACE2, as SARS-CoV."
31677,Which state is the S protein of SARS-CoV-2 based on the morphology of virion observed ?,post-fusion state with S1 disassociated,843,FALSE,"Since December 2019, the outbreak of Coronavirus Disease 2019 (COVID-19) spread from Wuhan, China to the world, it has caused more than 87,000 diagnosed cases and more than 3,000 deaths globally. To fight against COVID-19, we carried out research for the near native SARS-CoV-2 and report here our preliminary results obtained. The pathogen of the COVID-19, the native SARS-CoV-2, was isolated, amplified and purified in a BSL-3 laboratory. The whole viral architecture of SARS-CoV-2 was examined by transmission electron microscopy (both negative staining and cryo-EM). We observed that the virion particles are roughly spherical or moderately pleiomorphic. Spikes have nail-like shape towards outside with a long body embedded in the envelope. The morphology of virion observed in our result indicates that the S protein of SARS-CoV-2 is in post-fusion state, with S1 disassociated. This state revealed by cryo-EM first time could provide an important information for the identification and relevant clinical research of this new coronavirus."
52359,What are the important index in the clinical cure criteria in China for COVID-19?,twice successive negative results of Sars-Cov-2 nucleic acid detection,290,FALSE,"Since December 2019, an outbreak of the novel coronavirus (SARS-CoV-2) infection has spread rapidly in Wuhan, China [1]1. Over a month since the outbreak, more than 13,000 patients with COVID-19 have be cured and discharged from hospital until now. For the clinical cure criteria in China, twice successive negative results of Sars-Cov-2 nucleic acid detection are the important index, in addition to normal body temperature for 3 days as well as obvious improvement in respiratory symptoms and CT scan [2]. In the present work, we reported that Sars-Cov-2 nucleic acid was still detectable in sputum obtained by nebulization from a cured patient. On January 22, a 49-year-old man presented himself with fever for 4 days to a clinic. Throat swab detection was positive for SARS-CoV-2 nucleic acid by real-time RT-PCR. Subsequently, the patient was diagnosed with COVID-19 according to the diagnostic criteria [2] as follows (1): the positive result of SARS-CoV-2 nucleic acid detection (2); a history of short stay in Wuhan within 14 days; and (3) symptoms of fever, and multiple patchy areas of ground-glass opacity on CT scan. After the active treatment, the patient recovered from fever and other respiratory symptoms on February 4. On February 9 and February 10, the SARS-CoV-2 nucleic acid detection was successively negative in his throat swab samples. The CT scan result showed that the inflammation was significantly decreased in both lungs. Both the results of SARS-CoV-2 nucleic acid detection and CT scans indicated a recovery trend, and the patient was ready for discharge. On February 13, the throat swab and sputum by nebulization were collected before the patient was discharged. Notably, SARS-CoV-2 nucleic acid was still detected in sputum from the patient although negative result of throat swab detection."
33747,Which medince is widely used for possible treatment of 2019-nCoV infection in countries that the emerging infection exists?,lopinavir/ritonavir,12,FALSE,"At present, lopinavir/ritonavir is widely used for possible treatment of 2019-nCoV infection in countries that the emerging infection exists. Here, the authors used a mathematical modelling theoretical approach to predict the expectedproper dosage of lopinavir/ritonavir for possible treatment of 2019-nCoV infection. The protocol for mathematical modeling in this work is the same as previous report by Wiwanitkit et al[5]. Briefly, the primary agreement was there had to be a specific amount of required energy for reaction between lopinavir/ritonavir and its target enzyme and this energy is a specific constant for the reaction. Based on bonding theory, the required amount of lopinavir/ritonavir was varied to the two substrates, lopinavir/ritonavir and target, protease. Here, the simple equation ‘A + B ? C where A was the target enzyme, B was lopinavir/ritonavir and C was end product’ could be written."
32996,"For Italy, what is the IFR based on this new model estimation?",1.1% (95% CI: 0.2% - 2.1%),733,FALSE,"In an ongoing epidemic, the case fatality rate is not a reliable estimate of a disease's severity. This is particularly so when a large share of asymptomatic or pauci-symptomatic patients escape testing, or when overwhelmed healthcare systems are forced to limit testing further to severe cases only. By leveraging data on COVID-19, we propose a novel way to estimate a disease's infected fatality rate, the true lethality of the disease, in the presence of sparse and partial information. We show that this is feasible when the disease has turned into a pandemic and data comes from a large number of countries, or regions within countries, as long as testing strategies vary sufficiently. For Italy, our method estimates an IFR of 1.1% (95% CI: 0.2% - 2.1%), which is strongly in line with other methods. At the global level, our method estimates an IFR of 1.6% (95% CI: 1.1% - 2.1%). This method also allows us to show that the IFR varies according to each country's age structure and healthcare capacity."
32684,What was the common cause of physician deaths from COVID-19?,Lack of personal protective equipment,1422,FALSE,"OBJECTIVE: The COVID-19 pandemic has caused much morbidity and mortality to patients but also health care providers. We tabulated the cases of physician deaths from COVID-19 associated with front-line work in hopes of mitigating future events. METHOD: On April 5, 2020, Google internet search was performed using the keywords doctor, physician, death, COVID, COVID-19, and coronavirus in English and Farsi, and in Chinese using the Baidu search engine. RESULTS: We found 198 physician deaths from COVID-19, but complete details were missing for 49 individuals. The average age of the physicians that died was 63.4 years (range 28 to 90 years) and the median age was 66 years of age. Ninety percent of the deceased physicians were male (175/194). General practitioners and emergency room doctors (78/192), respirologists (5/192), internal medicine specialists (11/192) and anesthesiologists (6/192) comprised 52% of those dying. Two percent of the deceased were epidemiologists (4/192), 2% were infectious disease specialists (4/192), 5% were dentists (9/192), 4% were ENT (8/192), and 4% were ophthalmologists (7/192). The countries with the most reported physician deaths were Italy (79/198), Iran (43/198), China (16/198), Philippines (14/198), United States (9/192) and Indonesia (7/192). CONCLUSION: Physicians from all specialties may die from COVID, and these deaths will likely increase as the pandemic progresses. Lack of personal protective equipment was cited as a common cause of death. Consideration should be made to exclude older physicians from front-line work."
32994,Which medicine hasreceived worldwide attention because of positive results from small studies in COVID-19 treatment?,Hydroxychloroquine (HCQ) ,126,FALSE,"Background Treatments are urgently needed to prevent respiratory failure and deaths from coronavirus disease 2019 (COVID-19). Hydroxychloroquine (HCQ) has received worldwide attention because of positive results from small studies. Methods We used data collected from routine care of all adults in 4 French hospitals with documented SARS-CoV-2 pneumonia and requiring oxygen ≥ 2 L/min to emulate a target trial aimed at assessing the effectiveness of HCQ at 600 mg/day. The composite primary endpoint was transfer to intensive care unit (ICU) within 7 days from inclusion and/or death from any cause. Analyses were adjusted for confounding factors by inverse probability of treatment weighting. Results This study included 181 patients with SARS-CoV-2 pneumonia; 84 received HCQ within 48 hours of admission (HCQ group) and 97 did not (no-HCQ group). Initial severity was well balanced between the groups. In the weighted analysis, 20.2% patients in the HCQ group were transferred to the ICU or died within 7 days vs 22.1% in the no-HCQ group (16 vs 21 events, relative risk [RR] 0.91, 95% CI 0.47-1.80). In the HCQ group, 2.8% of the patients died within 7 days vs 4.6% in the no-HCQ group (3 vs 4 events, RR 0.61, 95% CI 0.13-2.89), and 27.4% and 24.1%, respectively, developed acute respiratory distress syndrome within 7 days (24 vs 23 events, RR 1.14, 95% CI 0.65-2.00). Eight patients receiving HCQ (9.5%) experienced electrocardiogram modifications requiring HCQ discontinuation. Interpretation These results do not support the use of HCQ in patients hospitalised for documented SARS-CoV-2-positive hypoxic pneumonia."
31894, what has been identified as an important role to mitigate COVID-19 pandemic since deaths have been concentrated at older ages?,demography,210,FALSE,"Governments around the world must rapidly mobilize and make difficult policy decisions to mitigate the COVID-19 pandemic. Because deaths have been concentrated at older ages, we highlight the important role of demography, particularly how the age structure of a population may help explain differences in fatality rates across countries and how transmission unfolds. We examine the role of age structure in deaths thus far in Italy and South Korea and illustrate how the pandemic could unfold in populations with similar population sizes but different age structures, showing a dramatically higher burden of mortality in countries with older versus younger populations. This powerful interaction of demography and current age-specific mortality for COVID-19 suggests that social distancing and other policies to slow transmission should consider both the age composition of local and national contexts as well as the social connectedness of older and younger generations. We also call for countries to provide case and fatality data disaggregated by age and sex to improve real-time targeted nowcasting."
31407,What is the condition that Syndromic screening and traveller sensitisation in combination could delay outbreaks in yet unaffected countries and support local containment efforts?,The infected traveller numbers are very low,1880,FALSE,"Background: We evaluated if interventions aimed at air travellers can delay establishment of a SARS-CoV-2 outbreak in a previously unaffected country. Methods: For countries with no sustained SARS-CoV-2 transmission and with no shared border with affected regions we simulated arriving infected air travellers. We assessed the effectiveness of syndromic screening at departure and/or arrival & traveller sensitisation to the COVID-2019-like symptoms with the aim to trigger rapid self-isolation and reporting on symptom onset to enable contact tracing. We assumed that syndromic screening would reduce the number of infected arrivals and that traveller sensitisation reduce the average number of secondary cases. We report the minimal expected delay achievable in 50% (75% & 97.5%) of simulations. In the simulations we account for uncertainty in the number of secondary cases in the absence of air traveller targeted interventions and the arrival times of infected cases and also present sensitivity analyses on arrival rates of infected travellers and the effectiveness of traveller sensitisation. Results: Under baseline assumptions exit and entry screening combined with traveller sensitisation can delay a local SARS-CoV-2 outbreak by at least 83 (75% of simulations: at least 36, 97.5% 8) days while there is no more than 1 infected traveller per week. The benefit of entry screening is small if exit screening is effective: the combination of only exit screening and traveller sensitisation can delay an outbreak by at least 76 (75%: 33, 97.5%: 7) days. With increasing rates of infected travellers, less effective sensitisation or without screening these delays shrink rapidly to a week or less. Conclusion: Syndromic screening and traveller sensitisation in combination could delay outbreaks in yet unaffected countries and support local containment efforts, but only if infected traveller numbers are very low."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
