question,answer,answer_start,is_impossible,context
What played a determinant role in the containment of the virus  since late January?,a robust government response,631,FALSE,"This paper examines the role of various socioeconomic factors in mediating the local and cross-city transmissions of the novel coronavirus 2019 (COVID-19) in China. We implement a machine learning approach to select instrumental variables that strongly predict virus transmission among the rich exogenous weather characteristics. Our 2SLS estimates show that the stringent quarantine, massive lockdown and other public health measures imposed in late January significantly reduced the transmission rate of COVID-19. By early February, the virus spread had been contained. While many socioeconomic factors mediate the virus spread, a robust government response since late January played a determinant role in the containment of the virus. We also demonstrate that the actual population flow from the outbreak source poses a higher risk to the destination than other factors such as geographic proximity and similarity in economic conditions. The results have rich implications for ongoing global efforts in containment of COVID-19."
What were typical imaging findings?,Subpleural GGOs with inter/intralobular septal thickening,918,FALSE,"Background: An ongoing outbreak of mystery pneumonia in Wuhan was caused by coronavirus disease 2019 (COVID-19). The infectious disease has spread globally and become a major threat to public health. Purpose: We aim to investigate the ultra-high-resolution CT (UHR-CT) findings of imported COVID-19 related pneumonia from the initial diagnosis to early-phase follow-up. Methods: This retrospective study included confirmed cases with early-stage COVID-19 related pneumonia imported from the epicenter. Initial and early-phase follow-up UHR-CT scans (within 5 days) were reviewed for characterizing the radiological findings. The normalized total volumes of ground-glass opacities (GGOs) and consolidations were calculated and compared during the radiological follow-up by artificial-intelligence-based methods. Results: Eleven patients (3 males and 8 females, aged 32-74 years) with confirmed COVID-19 were evaluated. Subpleural GGOs with inter/intralobular septal thickening were typical imaging findings. Other diagnostic CT features included distinct margins (8/11, 73%), pleural retraction or thickening (7/11, 64%), intralesional vasodilatation (6/11, 55%). Normalized volumes of pulmonary GGOs (p=0.003) and consolidations (p=0.003) significantly increased during the CT follow-up. Conclusions: The abnormalities of GGOs with peripleural distribution, consolidated areas, septal thickening, pleural involvement and intralesional vasodilatation on UHR-CT indicate the diagnosis of COVID-19. COVID-19 cases could manifest significantly progressed GGOs and consolidations with increased volume during the early-phase CT follow-up."
What statistical measures can be used to successfully forecast critical transitions?,"return rate, variance and lag-1 autocorrelation",747,FALSE,"The infectious novel coronavirus disease COVID-19 outbreak has been declared as a public health emergency of international concern, and later as an epidemic. To date, this outbreak has infected more than one million people and killed over fifty thousand people across the world. In most countries, the COVID-19 incidence curve rises sharply in a short span of time, suggesting a transition from a disease free (or low-burden disease) equilibrium state to a sustained infected (or high-burden disease) state. Such a transition from one stable state to another state in a relatively short span of time is often termed as a critical transition. Critical transitions can be, in general, successfully forecasted using many statistical measures such as return rate, variance and lag-1 autocorrelation. Here, we report an empirical test of this forecasting on the COVID-19 data sets for nine countries including India, China and the United States. For most of the data sets, an increase in autocorrelation and a decrease in return rate predict the onset of a critical transition. Our analysis suggests two key features in predicting the COVID-19 incidence curve for a specific country: a) the timing of strict social distancing and/or lockdown interventions implemented, and b) the fraction of a nation's population being affected by COVID-19 at the time of implementation of these interventions. Further, using satellite data of nitrogen dioxide which is emitted predominantly as a result of anthropogenic activities, as an indicator of lockdown policy, we find that in countries where the lockdown was implemented early and strictly have been successful in reducing the extent of transmission of the virus. These results hold important implications for designing effective strategies to control the spread of infectious pandemics."
What technique has been rapidly developed and quickly applied to clinical testing during the pandemic?,SARS-CoV-2 nucleic acid amplification tests (NAATs),214,FALSE,"Coronavirus disease 2019 (COVID-19) can be screened and diagnosed through the detection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) by real-time reverse transcription polymerase chain reaction. SARS-CoV-2 nucleic acid amplification tests (NAATs) have been rapidly developed and quickly applied to clinical testing during the pandemic. However, studies evaluating the performance of these NAAT assays are limited. We evaluated the performance of four NAATs, which were marked by the ConformitÃ© EuropÃ©enne and widely used in China during the pandemic. Results showed that the analytical sensitivity of the four assays was significantly lower than that claimed by the NAAT manufacturers. The limit of detection (LOD) of Daan, Sansure, and Hybribio NAATs was 3000 copies/mL, whereas the LOD of Bioperfectus NAATs was 4000 copies/mL. The results of the consistency test using 46 samples showed that Daan, Sansure, and Hybribio NAATs could detect the samples with a specificity of 100% (30/30) and a sensitivity of 100% (16 /16), whereas Bioperfectus NAAT detected the samples with a specificity of 100% (30/30) and a sensitivity 81.25% (13/16). The sensitivity of Bioperfectus NAAT was lower than that of the three other NAATs; this finding was consistent with the result that Bioperfectus NAAT had a higher LOD than the three other kinds of NAATs. The four above mentioned reagents presented high specificity; however, for the detection of the samples with low virus concentration, Bioperfectus reagent had the risk of missing detection. Therefore, the LOD should be considered in the selection of SARS-CoV-2 NAATs."
"What sensitivity did Daan, Sansure, and Hybribio NAATs could detect the samples?",100%,1031,FALSE,"Coronavirus disease 2019 (COVID-19) can be screened and diagnosed through the detection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) by real-time reverse transcription polymerase chain reaction. SARS-CoV-2 nucleic acid amplification tests (NAATs) have been rapidly developed and quickly applied to clinical testing during the pandemic. However, studies evaluating the performance of these NAAT assays are limited. We evaluated the performance of four NAATs, which were marked by the ConformitÃ© EuropÃ©enne and widely used in China during the pandemic. Results showed that the analytical sensitivity of the four assays was significantly lower than that claimed by the NAAT manufacturers. The limit of detection (LOD) of Daan, Sansure, and Hybribio NAATs was 3000 copies/mL, whereas the LOD of Bioperfectus NAATs was 4000 copies/mL. The results of the consistency test using 46 samples showed that Daan, Sansure, and Hybribio NAATs could detect the samples with a specificity of 100% (30/30) and a sensitivity of 100% (16 /16), whereas Bioperfectus NAAT detected the samples with a specificity of 100% (30/30) and a sensitivity 81.25% (13/16). The sensitivity of Bioperfectus NAAT was lower than that of the three other NAATs; this finding was consistent with the result that Bioperfectus NAAT had a higher LOD than the three other kinds of NAATs. The four above mentioned reagents presented high specificity; however, for the detection of the samples with low virus concentration, Bioperfectus reagent had the risk of missing detection. Therefore, the LOD should be considered in the selection of SARS-CoV-2 NAATs."
What sensitivity did Bioperfectus NAAT could detect the samples?,81.25%,1146,FALSE,"Coronavirus disease 2019 (COVID-19) can be screened and diagnosed through the detection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) by real-time reverse transcription polymerase chain reaction. SARS-CoV-2 nucleic acid amplification tests (NAATs) have been rapidly developed and quickly applied to clinical testing during the pandemic. However, studies evaluating the performance of these NAAT assays are limited. We evaluated the performance of four NAATs, which were marked by the ConformitÃ© EuropÃ©enne and widely used in China during the pandemic. Results showed that the analytical sensitivity of the four assays was significantly lower than that claimed by the NAAT manufacturers. The limit of detection (LOD) of Daan, Sansure, and Hybribio NAATs was 3000 copies/mL, whereas the LOD of Bioperfectus NAATs was 4000 copies/mL. The results of the consistency test using 46 samples showed that Daan, Sansure, and Hybribio NAATs could detect the samples with a specificity of 100% (30/30) and a sensitivity of 100% (16 /16), whereas Bioperfectus NAAT detected the samples with a specificity of 100% (30/30) and a sensitivity 81.25% (13/16). The sensitivity of Bioperfectus NAAT was lower than that of the three other NAATs; this finding was consistent with the result that Bioperfectus NAAT had a higher LOD than the three other kinds of NAATs. The four above mentioned reagents presented high specificity; however, for the detection of the samples with low virus concentration, Bioperfectus reagent had the risk of missing detection. Therefore, the LOD should be considered in the selection of SARS-CoV-2 NAATs."
Which reagent had the risk of missing detection for the detection of the samples with low virus concentration?,Bioperfectus,1500,FALSE,"Coronavirus disease 2019 (COVID-19) can be screened and diagnosed through the detection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) by real-time reverse transcription polymerase chain reaction. SARS-CoV-2 nucleic acid amplification tests (NAATs) have been rapidly developed and quickly applied to clinical testing during the pandemic. However, studies evaluating the performance of these NAAT assays are limited. We evaluated the performance of four NAATs, which were marked by the ConformitÃ© EuropÃ©enne and widely used in China during the pandemic. Results showed that the analytical sensitivity of the four assays was significantly lower than that claimed by the NAAT manufacturers. The limit of detection (LOD) of Daan, Sansure, and Hybribio NAATs was 3000 copies/mL, whereas the LOD of Bioperfectus NAATs was 4000 copies/mL. The results of the consistency test using 46 samples showed that Daan, Sansure, and Hybribio NAATs could detect the samples with a specificity of 100% (30/30) and a sensitivity of 100% (16 /16), whereas Bioperfectus NAAT detected the samples with a specificity of 100% (30/30) and a sensitivity 81.25% (13/16). The sensitivity of Bioperfectus NAAT was lower than that of the three other NAATs; this finding was consistent with the result that Bioperfectus NAAT had a higher LOD than the three other kinds of NAATs. The four above mentioned reagents presented high specificity; however, for the detection of the samples with low virus concentration, Bioperfectus reagent had the risk of missing detection. Therefore, the LOD should be considered in the selection of SARS-CoV-2 NAATs."
What have caused the outbreak in advance of virological testing?,a novel pathogen,259,FALSE,"Virological tests have now shown conclusively that a novel coronavirus is causing the 2019â 2020 atypical pneumonia outbreak in Wuhan, China. We demonstrate that non-virological descriptive characteristics could have determined that the outbreak is caused by a novel pathogen in advance of virological testing. Characteristics of the ongoing outbreak were collected in real time from two medical social media sites. These were compared against characteristics of eleven pathogens that have previously caused cases of atypical pneumonia. The probability that the current outbreak is due to âDisease Xâ (i.e., previously unknown etiology) as opposed to one of the known pathogens was inferred, and this estimate was updated as the outbreak continued. The probability (expressed as a percentage) that Disease X is driving the outbreak was assessed as over 29% on 31 December 2019, one week before virus identification. After some specific pathogens were ruled out by laboratory tests on 5 January 2020, the inferred probability of Disease X was over 49%. We showed quantitatively that the emerging outbreak of atypical pneumonia cases is consistent with causation by a novel pathogen. The proposed approach, which uses only routinely observed non-virological data, can aid ongoing risk assessments in advance of virological test results becoming available."
What was the inferred probability of Disease X after some specific pathogens were ruled out by laboratory tests on 5 January 2020?,over 49%,1042,FALSE,"Virological tests have now shown conclusively that a novel coronavirus is causing the 2019â 2020 atypical pneumonia outbreak in Wuhan, China. We demonstrate that non-virological descriptive characteristics could have determined that the outbreak is caused by a novel pathogen in advance of virological testing. Characteristics of the ongoing outbreak were collected in real time from two medical social media sites. These were compared against characteristics of eleven pathogens that have previously caused cases of atypical pneumonia. The probability that the current outbreak is due to âDisease Xâ (i.e., previously unknown etiology) as opposed to one of the known pathogens was inferred, and this estimate was updated as the outbreak continued. The probability (expressed as a percentage) that Disease X is driving the outbreak was assessed as over 29% on 31 December 2019, one week before virus identification. After some specific pathogens were ruled out by laboratory tests on 5 January 2020, the inferred probability of Disease X was over 49%. We showed quantitatively that the emerging outbreak of atypical pneumonia cases is consistent with causation by a novel pathogen. The proposed approach, which uses only routinely observed non-virological data, can aid ongoing risk assessments in advance of virological test results becoming available."
How many pediatric patients with COVID-19 were included in this study from January 20th to February 27th of 2020?,74,719,FALSE,"Background: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a newly identified pathogen which mainly spreads by droplets. Most published studies focused on adult patients with coronavirus disease 2019 (COVID-19), but data concerning pediatric patients is limited. This study aimed to determine epidemiological characteristics and clinical features of pediatric patients with COVID-19. Methods: We reviewed and analyzed data on pediatric patients with laboratory-confirmed COVID-19, including basic information, epidemiological history, clinical manifestations, laboratory and radiologic findings, treatment, outcome and follow-up results. Results: From January 20th to February 27th of 2020, a total of 74 pediatric patients with COVID-19 were included in this study. Of the 68 cases whose epidemiological data were complete, 65 (65/68, 95.59%) cases were household contacts of adults whose symptoms developed earlier. Forty (59.46%) of the infected children were male, and the median age and body weight are 6 (0.10-15.08) years and 24 (4.20-87.00) kg, respectively. Except for one critically ill case, 20 (27.03%) patients did not show any symptoms of infection, 24 (32.43%) patients had acute upper respiratory tract infection and 29 (39.19%) patients were diagnosed with mild pneumonia. Cough (24/74, 32.43%) and fever (20, 27.03%) were the predominant symptoms of 44 (59.46%) symptomatic patients at onset of the illness. Abnormalities in leukocyte count were found in 23 (31.08%) children and 10 (13.51%) children presented with abnormal lymphocyte count. Of the 34 (45.95%) patients who had nucleic acid testing results for common respiratory pathogens, 19 (19 / 34, 51.35%) showed co-infection with other pathogens other than SARS-CoV-2.Ten (13.51%) children had RT-PCR analysis of SARS-CoV-2 for fecal specimens and 8 of them showed prolonged existence of SARS-CoV-2 RNA 11 (5-23) days after nasopharynx swabs turning negative. Abnormalities in chest imaging were observed in 37 (50.00%) patients and 28 (37.84%) of them only presented with nontypical changes.All children had good prognosis with a median hospitalization duration of 11 days and follow-up period of 16.5 days. During the follow-up period, all the patients remained in quarantine at designated site and home for two 14-day obervation periods and showed no clinical manifestation,but 3 of the 8 cases with prolonged fecal shedding of SARS-CoV-2 still showed positive result of feces test."
What were the predominant symptoms of symptomatic patients at onset of the illness.,"Cough (24/74, 32.43%) and fever (20, 27.03%)",1307,FALSE,"Background: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a newly identified pathogen which mainly spreads by droplets. Most published studies focused on adult patients with coronavirus disease 2019 (COVID-19), but data concerning pediatric patients is limited. This study aimed to determine epidemiological characteristics and clinical features of pediatric patients with COVID-19. Methods: We reviewed and analyzed data on pediatric patients with laboratory-confirmed COVID-19, including basic information, epidemiological history, clinical manifestations, laboratory and radiologic findings, treatment, outcome and follow-up results. Results: From January 20th to February 27th of 2020, a total of 74 pediatric patients with COVID-19 were included in this study. Of the 68 cases whose epidemiological data were complete, 65 (65/68, 95.59%) cases were household contacts of adults whose symptoms developed earlier. Forty (59.46%) of the infected children were male, and the median age and body weight are 6 (0.10-15.08) years and 24 (4.20-87.00) kg, respectively. Except for one critically ill case, 20 (27.03%) patients did not show any symptoms of infection, 24 (32.43%) patients had acute upper respiratory tract infection and 29 (39.19%) patients were diagnosed with mild pneumonia. Cough (24/74, 32.43%) and fever (20, 27.03%) were the predominant symptoms of 44 (59.46%) symptomatic patients at onset of the illness. Abnormalities in leukocyte count were found in 23 (31.08%) children and 10 (13.51%) children presented with abnormal lymphocyte count. Of the 34 (45.95%) patients who had nucleic acid testing results for common respiratory pathogens, 19 (19 / 34, 51.35%) showed co-infection with other pathogens other than SARS-CoV-2.Ten (13.51%) children had RT-PCR analysis of SARS-CoV-2 for fecal specimens and 8 of them showed prolonged existence of SARS-CoV-2 RNA 11 (5-23) days after nasopharynx swabs turning negative. Abnormalities in chest imaging were observed in 37 (50.00%) patients and 28 (37.84%) of them only presented with nontypical changes.All children had good prognosis with a median hospitalization duration of 11 days and follow-up period of 16.5 days. During the follow-up period, all the patients remained in quarantine at designated site and home for two 14-day obervation periods and showed no clinical manifestation,but 3 of the 8 cases with prolonged fecal shedding of SARS-CoV-2 still showed positive result of feces test."
what is the the median age of 168 patients?,51.0 years,650,FALSE,"Background: Since January 2020, coronavirus disease 2019 (Covid-19) has spread rapidly and developing the pandemic model around the world. Data have been needed on the clinical characteristics of the affected patients in an imported cases as model in island outside Wuhan. Methods: We conducted a retrospective study included all 168 confirmed cases of Covid-19 in Hainan province from 22 January 2020 to 13 March 2020. Cases were confirmed by real-time RT-PCR and were analysed for demographic, clinical, radiological and laboratory data. Results: Of 168 patients, 160 have been discharged, 6 have died and 2 remain hospitalized. The median age was 51.0 years and 51.8% were females. 129 (76.8%) patients were imported cases, and 118 (70.2%), 51 (30.4%) and 52 (31%) of patients lived in Wuhan or traveled to Wuhan, had contact with Covid-19 patients, or had contact with Wuhan residents, respectively. The most common symptoms at onset of illness were fever (65.5%), dry cough (48.8%) and expectoration (32.1%). On admission, ground-glass opacity was the most common radiologic finding on chest computed tomography (60.2%). The elderly people with diabetes, hypertension and CVD are more likely to develop severe cases. Follow-up of 160 discharged patients found that 20 patients (12.5%) had a positive RT-PCR test results of pharyngeal swabs or anal swabs or fecal. Conclusions: In light of the rapid spread of Covid-19 around the world, early diagnosis and quarantine is important to curb the spread of Covid-19 and intensive treatments in early stage is to prevent patients away from critical condition."
What are the most common symptoms at onset of illness?,"fever (65.5%), dry cough (48.8%) and expectoration (32.1%)",954,FALSE,"Background: Since January 2020, coronavirus disease 2019 (Covid-19) has spread rapidly and developing the pandemic model around the world. Data have been needed on the clinical characteristics of the affected patients in an imported cases as model in island outside Wuhan. Methods: We conducted a retrospective study included all 168 confirmed cases of Covid-19 in Hainan province from 22 January 2020 to 13 March 2020. Cases were confirmed by real-time RT-PCR and were analysed for demographic, clinical, radiological and laboratory data. Results: Of 168 patients, 160 have been discharged, 6 have died and 2 remain hospitalized. The median age was 51.0 years and 51.8% were females. 129 (76.8%) patients were imported cases, and 118 (70.2%), 51 (30.4%) and 52 (31%) of patients lived in Wuhan or traveled to Wuhan, had contact with Covid-19 patients, or had contact with Wuhan residents, respectively. The most common symptoms at onset of illness were fever (65.5%), dry cough (48.8%) and expectoration (32.1%). On admission, ground-glass opacity was the most common radiologic finding on chest computed tomography (60.2%). The elderly people with diabetes, hypertension and CVD are more likely to develop severe cases. Follow-up of 160 discharged patients found that 20 patients (12.5%) had a positive RT-PCR test results of pharyngeal swabs or anal swabs or fecal. Conclusions: In light of the rapid spread of Covid-19 around the world, early diagnosis and quarantine is important to curb the spread of Covid-19 and intensive treatments in early stage is to prevent patients away from critical condition."
What are the two components in DESCOVY and TRUVADA?,Tenofovir and emtricitabine,318,FALSE,"SARS-CoV-2, a member of the coronavirus family, is responsible for the current COVID-19 pandemic. We previously demonstrated that four nucleotide analogues (specifically, the active triphosphate forms of Sofosbuvir, Alovudine, AZT and Tenofovir alafenamide) inhibit the SARS-CoV-2 RNA-dependent RNA polymerase (RdRp). Tenofovir and emtricitabine are the two components in DESCOVY and TRUVADA, the two FDA-approved medications for use as pre-exposure prophylaxis (PrEP) to prevent HIV infection. This is a preventative method in which individuals who are HIV negative (but at high-risk of contracting the virus) take the combination drug daily to reduce the chance of becoming infected with HIV. PrEP can stop HIV from replicating and spreading throughout the body. We report here that the triphosphates of tenofovir and emtricitabine, the two components in DESCOVY and TRUVADA, act as terminators for the SARS-CoV-2 RdRp catalyzed reaction. These results provide a molecular basis to evaluate the potential of DESCOVY and TRUVADA as PrEP for COVID-19."
" What would be inhibited by four nucleotide analogues (specifically, the active triphosphate forms of Sofosbuvir, Alovudine, AZT and Tenofovir alafenamide)?",the SARS-CoV-2 RNA-dependent RNA polymerase (RdRp),266,FALSE,"SARS-CoV-2, a member of the coronavirus family, is responsible for the current COVID-19 pandemic. We previously demonstrated that four nucleotide analogues (specifically, the active triphosphate forms of Sofosbuvir, Alovudine, AZT and Tenofovir alafenamide) inhibit the SARS-CoV-2 RNA-dependent RNA polymerase (RdRp). Tenofovir and emtricitabine are the two components in DESCOVY and TRUVADA, the two FDA-approved medications for use as pre-exposure prophylaxis (PrEP) to prevent HIV infection. This is a preventative method in which individuals who are HIV negative (but at high-risk of contracting the virus) take the combination drug daily to reduce the chance of becoming infected with HIV. PrEP can stop HIV from replicating and spreading throughout the body. We report here that the triphosphates of tenofovir and emtricitabine, the two components in DESCOVY and TRUVADA, act as terminators for the SARS-CoV-2 RdRp catalyzed reaction. These results provide a molecular basis to evaluate the potential of DESCOVY and TRUVADA as PrEP for COVID-19."
What act as terminators for the SARS-CoV-2 RdRp catalyzed reaction?,the triphosphates of tenofovir and emtricitabine,785,FALSE,"SARS-CoV-2, a member of the coronavirus family, is responsible for the current COVID-19 pandemic. We previously demonstrated that four nucleotide analogues (specifically, the active triphosphate forms of Sofosbuvir, Alovudine, AZT and Tenofovir alafenamide) inhibit the SARS-CoV-2 RNA-dependent RNA polymerase (RdRp). Tenofovir and emtricitabine are the two components in DESCOVY and TRUVADA, the two FDA-approved medications for use as pre-exposure prophylaxis (PrEP) to prevent HIV infection. This is a preventative method in which individuals who are HIV negative (but at high-risk of contracting the virus) take the combination drug daily to reduce the chance of becoming infected with HIV. PrEP can stop HIV from replicating and spreading throughout the body. We report here that the triphosphates of tenofovir and emtricitabine, the two components in DESCOVY and TRUVADA, act as terminators for the SARS-CoV-2 RdRp catalyzed reaction. These results provide a molecular basis to evaluate the potential of DESCOVY and TRUVADA as PrEP for COVID-19."
"In comparison to HD, how did the lymphocyte percentage change in COVID-19 patients?",slightly decreased,486,FALSE,"Coronavirus disease-2019 (COVID-19), caused by SARS-CoV-2, has rapidly spread to most of countries in the world, threatening the health and lives of many people. Unfortunately, information regarding the immunological characteristics in COVID-19 patients remains limited. Here we collected the blood samples from 18 healthy donors (HD) and 38 COVID-19 patients to analyze changes in the adaptive immune cell populations and phenotypes. In comparison to HD, the lymphocyte percentage was slightly decreased, the percentages of CD4 and CD8 T cells in lymphocytes are similar, whereas B cell percentage increased in COVID-19 patients. T cells, especially CD8 T cells, showed an enhanced expression of late activation marker CD25 and exhaustion marker PD-1. Importantly, SARS-CoV-2 induced an increased percentage of T follicular helpher (Tfh)- and germinal center B-like (GCB-like) cells in the blood. However, the parameters in COVD-19 patients remained unchanged across various age groups. Therefore, we demonstrated that the T and B cells can be activated normally and exhibit functional features. These data provide a clue that the adaptive immunity in most people could be primed to induce a significant immune response against SARS-CoV-2 infection upon receiving standard medical care."
How did the parameters in COVD-19 patients change across various age groups?,remained unchanged,942,FALSE,"Coronavirus disease-2019 (COVID-19), caused by SARS-CoV-2, has rapidly spread to most of countries in the world, threatening the health and lives of many people. Unfortunately, information regarding the immunological characteristics in COVID-19 patients remains limited. Here we collected the blood samples from 18 healthy donors (HD) and 38 COVID-19 patients to analyze changes in the adaptive immune cell populations and phenotypes. In comparison to HD, the lymphocyte percentage was slightly decreased, the percentages of CD4 and CD8 T cells in lymphocytes are similar, whereas B cell percentage increased in COVID-19 patients. T cells, especially CD8 T cells, showed an enhanced expression of late activation marker CD25 and exhaustion marker PD-1. Importantly, SARS-CoV-2 induced an increased percentage of T follicular helpher (Tfh)- and germinal center B-like (GCB-like) cells in the blood. However, the parameters in COVD-19 patients remained unchanged across various age groups. Therefore, we demonstrated that the T and B cells can be activated normally and exhibit functional features. These data provide a clue that the adaptive immunity in most people could be primed to induce a significant immune response against SARS-CoV-2 infection upon receiving standard medical care."
What would be induced by the adaptive immunity in most people to fight against SARS-CoV-2 infection upon receiving standard medical care?,a significant immune response,1191,FALSE,"Coronavirus disease-2019 (COVID-19), caused by SARS-CoV-2, has rapidly spread to most of countries in the world, threatening the health and lives of many people. Unfortunately, information regarding the immunological characteristics in COVID-19 patients remains limited. Here we collected the blood samples from 18 healthy donors (HD) and 38 COVID-19 patients to analyze changes in the adaptive immune cell populations and phenotypes. In comparison to HD, the lymphocyte percentage was slightly decreased, the percentages of CD4 and CD8 T cells in lymphocytes are similar, whereas B cell percentage increased in COVID-19 patients. T cells, especially CD8 T cells, showed an enhanced expression of late activation marker CD25 and exhaustion marker PD-1. Importantly, SARS-CoV-2 induced an increased percentage of T follicular helpher (Tfh)- and germinal center B-like (GCB-like) cells in the blood. However, the parameters in COVD-19 patients remained unchanged across various age groups. Therefore, we demonstrated that the T and B cells can be activated normally and exhibit functional features. These data provide a clue that the adaptive immunity in most people could be primed to induce a significant immune response against SARS-CoV-2 infection upon receiving standard medical care."
"Where all confirmed cases of 2019-nCoV was collected in this retrospective, single-centre study?",in Wuhan Jinyintan Hospital,328,FALSE,"Summary Background In December, 2019, a pneumonia associated with the 2019 novel coronavirus (2019-nCoV) emerged in Wuhan, China. We aimed to further clarify the epidemiological and clinical characteristics of 2019-nCoV pneumonia. Methods In this retrospective, single-centre study, we included all confirmed cases of 2019-nCoV in Wuhan Jinyintan Hospital from Jan 1 to Jan 20, 2020. Cases were confirmed by real-time RT-PCR and were analysed for epidemiological, demographic, clinical, and radiological features and laboratory data. Outcomes were followed up until Jan 25, 2020. Findings Of the 99 patients with 2019-nCoV pneumonia, 49 (49%) had a history of exposure to the Huanan seafood market. The average age of the patients was 55Â·5 years (SD 13Â·1), including 67 men and 32 women. 2019-nCoV was detected in all patients by real-time RT-PCR. 50 (51%) patients had chronic diseases. Patients had clinical manifestations of fever (82 [83%] patients), cough (81 [82%] patients), shortness of breath (31 [31%] patients), muscle ache (11 [11%] patients), confusion (nine [9%] patients), headache (eight [8%] patients), sore throat (five [5%] patients), rhinorrhoea (four [4%] patients), chest pain (two [2%] patients), diarrhoea (two [2%] patients), and nausea and vomiting (one [1%] patient). According to imaging examination, 74 (75%) patients showed bilateral pneumonia, 14 (14%) patients showed multiple mottling and ground-glass opacity, and one (1%) patient had pneumothorax. 17 (17%) patients developed acute respiratory distress syndrome and, among them, 11 (11%) patients worsened in a short period of time and died of multiple organ failure. Interpretation The 2019-nCoV infection was of clustering onset, is more likely to affect older males with comorbidities, and can result in severe and even fatal respiratory diseases such as acute respiratory distress syndrome. In general, characteristics of patients who died were in line with the MuLBSTA score, an early warning model for predicting mortality in viral pneumonia. Further investigation is needed to explore the applicability of the MuLBSTA score in predicting the risk of mortality in 2019-nCoV infection. Funding National Key R&D Program of China."
Who is more likely to be inffected by the 2019-nCoV infection?,older males with comorbidities,1744,FALSE,"Summary Background In December, 2019, a pneumonia associated with the 2019 novel coronavirus (2019-nCoV) emerged in Wuhan, China. We aimed to further clarify the epidemiological and clinical characteristics of 2019-nCoV pneumonia. Methods In this retrospective, single-centre study, we included all confirmed cases of 2019-nCoV in Wuhan Jinyintan Hospital from Jan 1 to Jan 20, 2020. Cases were confirmed by real-time RT-PCR and were analysed for epidemiological, demographic, clinical, and radiological features and laboratory data. Outcomes were followed up until Jan 25, 2020. Findings Of the 99 patients with 2019-nCoV pneumonia, 49 (49%) had a history of exposure to the Huanan seafood market. The average age of the patients was 55Â·5 years (SD 13Â·1), including 67 men and 32 women. 2019-nCoV was detected in all patients by real-time RT-PCR. 50 (51%) patients had chronic diseases. Patients had clinical manifestations of fever (82 [83%] patients), cough (81 [82%] patients), shortness of breath (31 [31%] patients), muscle ache (11 [11%] patients), confusion (nine [9%] patients), headache (eight [8%] patients), sore throat (five [5%] patients), rhinorrhoea (four [4%] patients), chest pain (two [2%] patients), diarrhoea (two [2%] patients), and nausea and vomiting (one [1%] patient). According to imaging examination, 74 (75%) patients showed bilateral pneumonia, 14 (14%) patients showed multiple mottling and ground-glass opacity, and one (1%) patient had pneumothorax. 17 (17%) patients developed acute respiratory distress syndrome and, among them, 11 (11%) patients worsened in a short period of time and died of multiple organ failure. Interpretation The 2019-nCoV infection was of clustering onset, is more likely to affect older males with comorbidities, and can result in severe and even fatal respiratory diseases such as acute respiratory distress syndrome. In general, characteristics of patients who died were in line with the MuLBSTA score, an early warning model for predicting mortality in viral pneumonia. Further investigation is needed to explore the applicability of the MuLBSTA score in predicting the risk of mortality in 2019-nCoV infection. Funding National Key R&D Program of China."
In which way that COVID-19 can transmit?,person-to-person transmission,165,FALSE,"The novel coronavirus 2019-nCoV first appeared in December 2019 in Wuhan, China. While most of the initial cases were linked to the Huanan Seafood Wholesale Market, person-to-person transmission has been verified. Given that a vaccine cannot be developed and deployed for at least a year, preventing further transmission relies upon standard principles of containment, two of which are the isolation of known cases and the quarantine of persons believed at high risk of exposure. This note presents probability models for assessing the effectiveness of case isolation and quarantine within a community during the initial phase of an outbreak with illustrations based on early observations from Wuhan."
What is  possible hotspot of COVID-19 fecal-oral transmission,mature small intestinal enterocytes,1094,FALSE,"The COVID-19 pandemic demands assimilation of all available biomedical knowledge to decode its mechanisms of pathogenicity and transmission. Despite the recent renaissance in unsupervised neural networks for decoding unstructured natural languages, a platform for the real-time synthesis of the exponentially growing biomedical literature and its comprehensive triangulation with deep omic insights is not available. Here, we present the nferX platform for dynamic inference from over 45 quadrillion possible conceptual associations extracted from unstructured biomedical text, and their triangulation with Single Cell RNA-sequencing based insights from over 25 tissues (https://academia.nferx.com/). Using this platform, we identify intersections between the pathologic manifestations of COVID-19 and the comprehensive expression profile of the SARS-CoV-2 receptor ACE2. We find that tongue keratinocytes, airway club cells, and ciliated cells are likely under-appreciated targets of SARS-CoV-2 infection, in addition to type II pneumocytes and olfactory epithelial cells. We further identify mature small intestinal enterocytes as a possible hotspot of COVID-19 fecal-oral transmission, where an intriguing maturation-correlated transcriptional signature is shared between ACE2 and the other coronavirus receptors DPP4 (MERS-CoV) and ANPEP (Î±-coronavirus). This study demonstrates how a holistic data science platform can leverage unprecedented quantities of structured and unstructured publicly available data to accelerate the generation of impactful biological insights and hypotheses."
